tipo_celular,module_size,CD46_MM,CD46_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.264,78.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,610,0.181,71.0,98,10,10.2,1.40 (0.82-1.97),88,89.8,3.34 (3.02-3.66)
astrocytes 5,1656,0.106,34.0,136,3,2.21,1.40 (1.32-1.48),133,97.79,3.25 (2.98-3.53)
oligodendrocyte progenitor cells 7,4285,0.118,25.0,353,22,6.23,1.97 (1.49-2.45),331,93.77,4.06 (3.87-4.24)
GABA neurons expressing GLU receptors 22,1069,0.176,58.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60)
GLU like neurons 17,637,0.116,30.0,91,11,12.09,2.47 (1.55-3.39),80,87.91,4.94 (4.40-5.48)
da like neurons 11,101,0.094,13.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,88,0.203,78.0,2,1,50.0,NA,1,50.0,NA
endothelial cells 9,559,0.301,82.0,155,7,4.52,4.75 (3.51-6.00),148,95.48,4.31 (3.93-4.69)
oligodendrocytes 20,403,0.184,71.0,18,3,16.67,0.58 (0.32-0.83),15,83.33,2.14 (1.39-2.88)
GABA like neurons 14,3052,0.152,62.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771,0.041,7.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,3303,0.068,36.0,276,19,6.88,1.78 (1.41-2.15),257,93.12,3.71 (3.48-3.93)
oligodendrocytes 10,2107,0.133,45.0,358,31,8.66,2.05 (1.63-2.47),327,91.34,4.10 (3.91-4.29)
connective tissue cells 21,106,0.251,33.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06)
astrocytes 15,1768,0.079,44.0,105,10,9.52,1.40 (0.89-1.91),95,90.48,3.42 (3.08-3.76)
oligodendrocytes 16,151,0.137,12.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,518,0.136,75.0,122,12,9.84,1.54 (0.58-2.49),110,90.16,4.19 (3.80-4.58)
astrocytes microglia 23,111,0.304,37.0,2,0,0.0,NA,2,100.0,1.26 (-0.42-2.94)
astrocytes 4,787,0.156,59.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,479,0.12,21.0,40,1,2.5,3.69 (NA-NA),39,97.5,5.93 (5.42-6.45)
microglia 1,1615,0.119,63.0,161,22,13.66,1.96 (1.49-2.43),139,86.34,3.54 (3.25-3.82)
oligodendrocytes 3,1003,0.088,41.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65)
oligodendrocytes 2,804,0.104,5.0,84,2,2.38,0.51 (-0.09-1.11),82,97.62,2.76 (2.42-3.09)
