tipo_celular,module_size,RBM19_MM,RBM19_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206.0,0.236,66.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,610.0,0.166,61.0,98,25,25.51,1.57 (1.14-1.99),73,74.49,3.67 (3.36-3.97)
astrocytes 5,1656.0,0.111,42.0,136,8,5.88,1.87 (1.38-2.35),128,94.12,3.30 (3.02-3.58)
oligodendrocyte progenitor cells 7,4285.0,0.164,89.0,353,40,11.33,1.84 (1.49-2.19),313,88.67,4.22 (4.05-4.40)
GABA neurons expressing GLU receptors 22,703.0,0.188,52.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88)
GLU like neurons 17,1247.0,0.104,28.0,51,1,1.96,NA,50,98.04,3.62 (3.05-4.20)
da like neurons 11,265.0,0.2,55.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,253.0,0.052,13.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,2090.0,0.092,10.0,74,7,9.46,1.86 (1.51-2.20),67,90.54,3.03 (2.64-3.43)
astrocytes 8,260.0,0.093,30.0,4,1,25.0,0.26 (NA-NA),3,75.0,2.86 (1.07-4.66)
oligodendrocyte progenitor cells 12,3303.0,0.098,72.0,276,27,9.78,1.82 (1.50-2.14),249,90.22,3.78 (3.56-4.01)
oligodendrocytes 10,2107.0,0.118,38.0,358,43,12.01,1.79 (1.46-2.12),315,87.99,4.24 (4.06-4.42)
connective tissue cells 21,103.0,0.255,34.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72)
astrocytes 15,1401.0,0.081,46.0,96,3,3.12,1.64 (1.50-1.78),93,96.88,3.69 (3.23-4.15)
oligodendrocytes 16,66.0,0.268,79.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,135.0,0.283,29.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.159,75.0,104,26,25.0,1.71 (1.35-2.07),78,75.0,3.25 (2.94-3.55)
oligodendrocytes 0,2078.0,0.119,61.0,238,4,1.68,1.70 (0.57-2.84),234,98.32,3.68 (3.45-3.90)
microglia 1,813.0,0.121,56.0,79,1,1.27,4.40 (NA-NA),78,98.73,3.08 (2.68-3.49)
oligodendrocytes 3,681.0,0.07,25.0,87,23,26.44,1.62 (1.29-1.96),64,73.56,2.95 (2.64-3.25)
oligodendrocytes 2,1630.0,0.123,17.0,154,1,0.65,4.40 (NA-NA),153,99.35,3.24 (2.97-3.50)
