tipo_celular,module_size,SLIRP_MM,SLIRP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.119,23.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,282.0,0.13,14.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,1656.0,0.098,23.0,136,2,1.47,1.39 (1.08-1.71),134,98.53,3.24 (2.97-3.51)
oligodendrocyte progenitor cells 7,628.0,0.115,14.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41)
GABA neurons expressing GLU receptors 22,567.0,0.162,37.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.154,34.0,302,2,0.66,2.47 (1.19-3.75),300,99.34,3.99 (3.77-4.22)
oligodendrocytes 20,938.0,0.183,75.0,169,2,1.18,1.18 (-0.06-2.43),167,98.82,3.51 (3.30-3.73)
GABA like neurons 14,2402.0,0.25,55.0,455,15,3.3,1.43 (0.91-1.95),440,96.7,4.48 (4.30-4.66)
astrocytes 8,603.0,0.041,12.0,89,2,2.25,1.39 (1.08-1.71),87,97.75,2.80 (2.45-3.16)
oligodendrocyte progenitor cells 12,1049.0,0.113,61.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06)
oligodendrocytes 10,483.0,0.095,40.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,126.0,0.354,88.0,7,0,0.0,NA,7,100.0,1.50 (0.53-2.48)
astrocytes 15,458.0,0.069,32.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,113.0,0.398,100.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,53.0,0.317,52.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.15,59.0,104,9,8.65,1.77 (1.19-2.35),95,91.35,2.98 (2.68-3.27)
oligodendrocytes 0,2078.0,0.097,17.0,238,1,0.42,3.12 (NA-NA),237,99.58,3.64 (3.42-3.86)
microglia 1,1615.0,0.078,8.0,161,14,8.7,1.22 (0.80-1.63),147,91.3,3.52 (3.25-3.78)
oligodendrocytes 3,681.0,0.058,14.0,87,7,8.05,1.49 (0.83-2.16),80,91.95,2.69 (2.41-2.97)
oligodendrocytes 2,526.0,0.094,4.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
