tipo_celular,module_size,GNAZ_MM,GNAZ_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,487.0,0.248,62.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.133,30.0,410,12,2.93,1.97 (1.16-2.77),398,97.07,4.30 (4.12-4.49)
GABA neurons expressing GABA receptors 13,77.0,0.074,2.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,279.0,0.147,27.0,16,1,6.25,4.17 (NA-NA),15,93.75,2.26 (1.50-3.01)
GABA like neurons 14,2402.0,0.27,60.0,455,20,4.4,1.65 (0.86-2.44),435,95.6,4.47 (4.29-4.65)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,806.0,0.174,55.0,261,10,3.83,2.40 (1.62-3.18),251,96.17,4.42 (4.17-4.66)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,105.0,0.314,94.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00)
da neurons 6,553.0,0.126,49.0,124,4,3.23,1.26 (-0.42-2.94),120,96.77,4.25 (3.86-4.64)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.126,74.0,238,2,0.84,1.37 (-0.91-3.64),236,99.16,3.66 (3.44-3.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.05,8.0,76,2,2.63,3.74 (NA-NA),74,97.37,3.15 (2.75-3.55)
oligodendrocytes 2,1630.0,0.188,100.0,154,1,0.65,2.12 (NA-NA),153,99.35,3.25 (2.99-3.52)
