tipo_celular,module_size,WBP4_MM,WBP4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.143,90.0,136,9,6.62,1.93 (1.48-2.38),127,93.38,3.31 (3.03-3.59)
oligodendrocyte progenitor cells 7,4285.0,0.108,15.0,353,42,11.9,2.01 (1.58-2.45),311,88.1,4.21 (4.04-4.39)
GABA neurons expressing GLU receptors 22,703.0,0.121,16.0,23,2,8.7,1.50 (0.87-2.12),21,91.3,2.15 (1.37-2.93)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.069,13.0,275,43,15.64,2.06 (1.62-2.50),232,84.36,4.44 (4.18-4.70)
oligodendrocytes 20,938.0,0.136,55.0,169,4,2.37,1.13 (0.16-2.10),165,97.63,3.55 (3.34-3.76)
GABA like neurons 14,2402.0,0.262,58.0,455,34,7.47,2.12 (1.58-2.65),421,92.53,4.58 (4.40-4.76)
astrocytes 8,218.0,0.133,61.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,1049.0,0.102,56.0,235,9,3.83,3.24 (2.81-3.68),226,96.17,3.85 (3.61-4.09)
oligodendrocytes 10,735.0,0.041,8.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,126.0,0.316,68.0,7,3,42.86,1.36 (0.78-1.94),4,57.14,1.65 (-0.44-3.74)
astrocytes 15,338.0,0.251,94.0,14,1,7.14,4.40 (NA-NA),13,92.86,1.55 (0.90-2.20)
oligodendrocytes 16,69.0,0.274,81.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,729.0,0.076,11.0,182,8,4.4,1.83 (1.33-2.34),174,95.6,3.71 (3.46-3.97)
astrocytes microglia 23,95.0,0.347,64.0,4,0,0.0,NA,4,100.0,0.43 (0.30-0.56)
astrocytes 4,1807.0,0.145,52.0,104,30,28.85,1.71 (1.40-2.03),74,71.15,3.33 (3.02-3.65)
oligodendrocytes 0,2078.0,0.112,45.0,238,4,1.68,1.70 (0.57-2.84),234,98.32,3.68 (3.45-3.90)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.048,4.0,111,2,1.8,3.13 (2.98-3.28),109,98.2,3.31 (2.96-3.66)
oligodendrocytes 2,1630.0,0.081,1.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
