tipo_celular,module_size,ENO1_MM,ENO1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.201,53.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,282,0.209,68.0,241,52,21.58,4.82 (4.32-5.31),189,78.42,3.88 (3.60-4.16)
astrocytes 5,328,0.12,25.0,128,11,8.59,5.49 (4.70-6.27),117,91.41,3.34 (3.00-3.68)
oligodendrocyte progenitor cells 7,296,0.198,60.0,251,41,16.33,4.15 (3.88-4.42),210,83.67,4.05 (3.77-4.33)
GABA neurons expressing GLU receptors 22,848,0.344,84.0,262,35,13.36,3.02 (2.52-3.52),227,86.64,4.36 (4.09-4.63)
GLU like neurons 17,380,0.235,88.0,39,3,7.69,2.32 (1.16-3.48),36,92.31,3.03 (2.43-3.62)
da like neurons 11,1220,0.373,90.0,410,66,16.1,3.82 (3.53-4.10),344,83.9,4.36 (4.14-4.58)
GABA neurons expressing GABA receptors 13,357,0.229,77.0,237,9,3.8,4.67 (3.95-5.38),228,96.2,4.40 (4.15-4.64)
endothelial cells 9,916,0.169,38.0,302,47,15.56,3.84 (3.51-4.18),255,84.44,4.02 (3.75-4.29)
oligodendrocytes 20,358,0.155,50.0,31,3,9.68,3.18 (2.54-3.81),28,90.32,2.27 (1.80-2.73)
GABA like neurons 14,2402,0.543,92.0,455,72,15.82,3.20 (2.82-3.59),383,84.18,4.64 (4.44-4.84)
astrocytes 8,520,0.149,60.0,288,51,17.71,3.43 (3.12-3.75),237,82.29,4.35 (4.12-4.58)
oligodendrocyte progenitor cells 12,1049,0.172,80.0,235,38,16.17,4.03 (3.76-4.30),197,83.83,3.78 (3.50-4.05)
oligodendrocytes 10,735,0.333,100.0,277,20,7.22,4.02 (3.87-4.16),257,92.78,3.88 (3.61-4.15)
connective tissue cells 21,301,0.261,18.0,158,17,10.76,3.19 (2.36-4.01),141,89.24,4.44 (4.05-4.84)
astrocytes 15,1768,0.135,86.0,105,29,27.62,2.10 (1.67-2.54),76,72.38,3.68 (3.29-4.08)
oligodendrocytes 16,313,0.346,80.0,291,18,6.19,3.90 (3.10-4.70),273,93.81,4.36 (4.13-4.59)
da neurons 6,409,0.348,99.0,235,49,20.85,4.20 (3.81-4.59),186,79.15,3.89 (3.58-4.20)
astrocytes microglia 23,41,0.292,30.0,3,0,0.0,NA,3,100.0,NA
astrocytes 4,208,0.121,11.0,173,17,9.83,4.65 (3.96-5.35),156,90.17,3.70 (3.38-4.02)
oligodendrocytes 0,546,0.176,54.0,252,68,26.98,3.10 (2.72-3.47),184,73.02,4.58 (4.29-4.86)
microglia 1,214,0.167,46.0,227,43,18.94,3.94 (3.66-4.23),184,81.06,4.14 (3.84-4.43)
oligodendrocytes 3,457,0.162,70.0,345,25,7.25,3.54 (2.93-4.15),320,92.75,4.33 (4.12-4.55)
oligodendrocytes 2,526,0.241,44.0,213,34,15.96,4.15 (3.93-4.36),179,84.04,3.94 (3.59-4.28)
