tipo_celular,module_size,CEP78_MM,CEP78_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,393.0,0.399,95.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61)
astrocytes 5,1656.0,0.141,87.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.149,71.0,353,15,4.25,1.51 (0.79-2.23),338,95.75,4.01 (3.83-4.19)
GABA neurons expressing GLU receptors 22,714.0,0.249,80.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,1316.0,0.108,36.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,94.0,0.101,23.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.022,2.0,169,2,1.18,0.97 (-0.53-2.46),167,98.82,3.52 (3.30-3.73)
GABA like neurons 14,3052.0,0.158,66.0,125,4,3.2,4.39 (4.06-4.72),121,96.8,3.33 (3.00-3.66)
astrocytes 8,603.0,0.024,2.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11)
oligodendrocyte progenitor cells 12,411.0,0.035,9.0,103,2,1.94,4.12 (4.12-4.12),101,98.06,5.58 (5.19-5.98)
oligodendrocytes 10,2107.0,0.063,10.0,358,14,3.91,1.26 (0.69-1.82),344,96.09,3.98 (3.80-4.17)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.086,51.0,96,6,6.25,2.98 (1.92-4.05),90,93.75,3.66 (3.19-4.14)
oligodendrocytes 16,87.0,0.18,45.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,41.0,0.372,78.0,2,0,0.0,NA,2,100.0,1.57 (1.57-1.57)
astrocytes 4,787.0,0.148,43.0,65,3,4.62,4.27 (4.17-4.38),62,95.38,2.91 (2.51-3.31)
oligodendrocytes 0,2078.0,0.126,75.0,238,3,1.26,1.22 (-0.77-3.20),235,98.74,3.66 (3.44-3.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.072,24.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.126,20.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
