tipo_celular,module_size,KCNJ3_MM,KCNJ3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.186,66.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,4285.0,0.155,79.0,353,5,1.42,1.10 (0.37-1.82),348,98.58,3.94 (3.76-4.13)
GABA neurons expressing GLU receptors 22,459.0,0.249,80.0,165,35,21.21,3.46 (3.07-3.86),130,78.79,5.72 (5.34-6.09)
GLU like neurons 17,795.0,0.36,97.0,80,13,16.25,4.83 (4.05-5.61),67,83.75,5.94 (5.48-6.40)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.215,54.0,306,45,14.71,3.29 (2.90-3.68),261,85.29,5.60 (5.32-5.87)
astrocytes 8,218.0,0.079,44.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,3303.0,0.051,17.0,276,8,2.9,1.42 (0.96-1.88),268,97.1,3.63 (3.41-3.84)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.045,10.0,105,4,3.81,0.87 (0.13-1.61),101,96.19,3.31 (2.98-3.65)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,54.0,0.328,53.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752.0,0.134,24.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
