tipo_celular,module_size,NELFCD_MM,NELFCD_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.131,30.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,624.0,0.092,8.0,142,1,0.7,4.27 (NA-NA),141,99.3,3.20 (2.93-3.47)
astrocytes 5,1656.0,0.131,75.0,136,11,8.09,2.70 (1.74-3.66),125,91.91,3.25 (2.97-3.54)
oligodendrocyte progenitor cells 7,4285.0,0.113,20.0,353,54,15.3,2.15 (1.83-2.48),299,84.7,4.31 (4.13-4.49)
GABA neurons expressing GLU receptors 22,400.0,0.214,60.0,24,6,25.0,0.48 (0.34-0.63),18,75.0,2.71 (2.28-3.14)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.073,16.0,275,47,17.09,2.10 (1.77-2.44),228,82.91,4.56 (4.30-4.82)
oligodendrocytes 20,279.0,0.274,71.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,2402.0,0.194,39.0,455,22,4.84,1.43 (1.02-1.84),433,95.16,4.55 (4.38-4.73)
astrocytes 8,603.0,0.093,61.0,89,8,8.99,1.22 (1.03-1.40),81,91.01,2.98 (2.61-3.34)
oligodendrocyte progenitor cells 12,1049.0,0.056,21.0,235,1,0.43,1.29 (NA-NA),234,99.57,3.84 (3.61-4.07)
oligodendrocytes 10,483.0,0.058,14.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,443.0,0.195,79.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55)
oligodendrocytes 16,91.0,0.357,96.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,109.0,0.321,62.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.177,96.0,104,30,28.85,2.02 (1.57-2.47),74,71.15,3.24 (2.93-3.56)
oligodendrocytes 0,2078.0,0.088,8.0,238,16,6.72,2.95 (2.31-3.59),222,93.28,3.69 (3.46-3.92)
microglia 1,958.0,0.08,7.0,290,12,4.14,3.08 (2.25-3.92),278,95.86,3.85 (3.62-4.09)
oligodendrocytes 3,743.0,0.064,23.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.164,90.0,154,5,3.25,4.47 (4.47-4.47),149,96.75,3.21 (2.94-3.48)
