tipo_celular,module_size,YIPF6_MM,YIPF6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.183,63.0,97,1,1.03,3.60 (NA-NA),96,98.97,3.05 (2.65-3.45)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.098,8.0,353,13,3.68,1.93 (0.93-2.93),340,96.32,3.99 (3.80-4.17)
GABA neurons expressing GLU receptors 22,1069.0,0.136,28.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.115,22.0,410,4,0.98,2.53 (1.08-3.99),406,99.02,4.27 (4.08-4.46)
GABA neurons expressing GABA receptors 13,266.0,0.133,33.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09)
endothelial cells 9,916.0,0.082,8.0,302,3,0.99,3.19 (2.25-4.14),299,99.01,3.99 (3.76-4.22)
oligodendrocytes 20,938.0,0.095,34.0,169,3,1.78,2.18 (0.37-3.99),166,98.22,3.51 (3.29-3.73)
GABA like neurons 14,2402.0,0.259,57.0,455,10,2.2,1.32 (0.47-2.16),445,97.8,4.44 (4.26-4.62)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.068,32.0,235,1,0.43,3.74 (NA-NA),234,99.57,3.82 (3.59-4.06)
oligodendrocytes 10,806.0,0.098,26.0,261,3,1.15,3.19 (2.25-4.14),258,98.85,4.38 (4.14-4.63)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,69.0,0.192,46.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.083,16.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61)
astrocytes microglia 23,83.0,0.321,59.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.12,62.0,238,1,0.42,3.31 (NA-NA),237,99.58,3.64 (3.42-3.86)
microglia 1,958.0,0.083,11.0,290,0,0.0,NA,290,100.0,3.81 (3.58-4.04)
oligodendrocytes 3,743.0,0.086,57.0,76,2,2.63,3.67 (3.53-3.81),74,97.37,3.14 (2.74-3.55)
oligodendrocytes 2,1630.0,0.176,98.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
