tipo_celular,module_size,ENAH_MM,ENAH_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.155,80.0,166,2,1.2,0.38 (0.04-0.71),164,98.8,3.44 (3.19-3.68)
oligodendrocyte progenitor cells 7,448.0,0.105,24.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,599.0,0.274,78.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,637.0,0.14,42.0,91,19,20.88,3.21 (2.36-4.06),72,79.12,5.02 (4.43-5.61)
da like neurons 11,101.0,0.393,81.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,266.0,0.155,49.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09)
endothelial cells 9,303.0,0.134,35.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,322.0,0.032,5.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,1300.0,0.127,15.0,306,41,13.4,4.45 (3.76-5.14),265,86.6,5.23 (4.95-5.51)
astrocytes 8,771.0,0.067,24.0,48,9,18.75,7.17 (6.28-8.07),39,81.25,3.72 (2.99-4.46)
oligodendrocyte progenitor cells 12,143.0,0.386,24.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,1277.0,0.065,20.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,85.0,0.284,39.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75)
astrocytes 15,1401.0,0.121,77.0,96,12,12.5,4.64 (3.97-5.31),84,87.5,3.46 (2.97-3.96)
oligodendrocytes 16,69.0,0.201,49.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.122,46.0,124,0,0.0,NA,124,100.0,4.18 (3.79-4.58)
astrocytes microglia 23,76.0,0.319,52.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752.0,0.153,48.0,96,3,3.12,4.71 (3.95-5.48),93,96.88,3.23 (2.90-3.57)
oligodendrocytes 0,1186.0,0.158,71.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.183,92.0,111,1,0.9,NA,110,99.1,3.30 (2.96-3.64)
oligodendrocytes 2,348.0,0.191,47.0,114,35,30.7,5.14 (4.46-5.83),79,69.3,5.10 (4.58-5.61)
