tipo_celular,module_size,ADCY3_MM,ADCY3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,624.0,0.223,90.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,423.0,0.082,3.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,4285.0,0.125,34.0,353,17,4.82,1.33 (0.86-1.80),336,95.18,4.06 (3.88-4.24)
GABA neurons expressing GLU receptors 22,599.0,0.169,29.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,1316.0,0.078,11.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,61.0,0.32,52.0,3,0,0.0,NA,3,100.0,3.69 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.465,94.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,938.0,0.078,26.0,169,20,11.83,3.38 (2.89-3.87),149,88.17,3.50 (3.25-3.74)
GABA like neurons 14,2090.0,0.157,53.0,74,3,4.05,2.03 (1.40-2.66),71,95.95,2.99 (2.60-3.38)
astrocytes 8,577.0,0.045,14.0,83,2,2.41,1.70 (0.08-3.32),81,97.59,3.30 (2.84-3.75)
oligodendrocyte progenitor cells 12,3303.0,0.07,39.0,276,13,4.71,2.10 (1.50-2.70),263,95.29,3.64 (3.41-3.86)
oligodendrocytes 10,735.0,0.11,59.0,277,17,6.14,3.91 (3.84-3.99),260,93.86,3.89 (3.63-4.16)
connective tissue cells 21,118.0,0.273,36.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA)
astrocytes 15,208.0,0.066,37.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36)
oligodendrocytes 16,105.0,0.169,21.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00)
da neurons 6,518.0,0.09,27.0,122,10,8.2,1.33 (0.73-1.92),112,91.8,4.31 (3.93-4.69)
astrocytes microglia 23,92.0,0.286,32.0,11,0,0.0,NA,11,100.0,4.35 (3.80-4.91)
astrocytes 4,514.0,0.111,6.0,95,4,4.21,1.16 (0.64-1.68),91,95.79,3.50 (3.07-3.92)
oligodendrocytes 0,2078.0,0.106,34.0,238,4,1.68,1.87 (0.54-3.19),234,98.32,3.67 (3.45-3.89)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,242.0,0.101,33.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,347.0,0.121,8.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
