tipo_celular,module_size,METAP1_MM,METAP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.296,88.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,518.0,0.097,12.0,131,1,0.76,2.25 (NA-NA),130,99.24,3.08 (2.80-3.36)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.133,48.0,353,25,7.08,2.05 (1.53-2.56),328,92.92,4.08 (3.89-4.26)
GABA neurons expressing GLU receptors 22,192.0,0.122,43.0,55,2,3.64,2.29 (2.26-2.32),53,96.36,4.10 (3.68-4.52)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.098,73.0,276,23,8.33,2.03 (1.58-2.48),253,91.67,3.73 (3.50-3.95)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,126.0,0.489,100.0,7,1,14.29,0.82 (NA-NA),6,85.71,1.64 (0.49-2.79)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,57.0,0.36,74.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,958.0,0.089,17.0,290,9,3.1,2.78 (1.61-3.96),281,96.9,3.86 (3.62-4.09)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
