tipo_celular,module_size,SLC38A9_MM,SLC38A9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.071,4.0,73,7,9.59,4.05 (3.66-4.44),66,90.41,3.50 (3.11-3.88)
T cells 18,282.0,0.181,56.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,1656.0,0.123,62.0,136,1,0.74,1.23 (NA-NA),135,99.26,3.23 (2.95-3.50)
oligodendrocyte progenitor cells 7,4285.0,0.157,82.0,353,20,5.67,1.84 (1.15-2.53),333,94.33,4.05 (3.87-4.23)
GABA neurons expressing GLU receptors 22,823.0,0.206,68.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,637.0,0.153,48.0,91,11,12.09,1.74 (0.58-2.90),80,87.91,5.09 (4.62-5.55)
da like neurons 11,137.0,0.304,58.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.101,14.0,74,2,2.7,4.44 (2.36-6.52),72,97.3,5.51 (4.94-6.08)
oligodendrocytes 20,298.0,0.287,91.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,3052.0,0.115,30.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.132,52.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,3303.0,0.108,82.0,276,14,5.07,1.91 (1.40-2.42),262,94.93,3.66 (3.44-3.88)
oligodendrocytes 10,2107.0,0.176,61.0,358,25,6.98,2.04 (1.31-2.77),333,93.02,4.04 (3.86-4.23)
connective tissue cells 21,73.0,0.326,67.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.17,96.0,105,8,7.62,1.42 (0.82-2.01),97,92.38,3.37 (3.03-3.72)
oligodendrocytes 16,64.0,0.179,47.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.19,1.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41)
astrocytes 4,1807.0,0.143,47.0,104,9,8.65,1.57 (0.81-2.33),95,91.35,3.00 (2.71-3.28)
oligodendrocytes 0,479.0,0.119,20.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,1615.0,0.145,87.0,161,18,11.18,2.16 (1.22-3.10),143,88.82,3.45 (3.19-3.71)
oligodendrocytes 3,1003.0,0.14,81.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804.0,0.122,15.0,84,4,4.76,1.14 (0.13-2.16),80,95.24,2.79 (2.45-3.12)
