tipo_celular,module_size,INPP4B_MM,INPP4B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,388.0,0.386,97.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30)
astrocytes 5,499.0,0.169,54.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,666.0,0.148,34.0,127,10,7.87,2.43 (1.56-3.30),117,92.13,4.02 (3.67-4.36)
GABA neurons expressing GLU receptors 22,599.0,0.303,86.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,489.0,0.293,90.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,87.0,0.494,100.0,3,0,0.0,NA,3,100.0,NA
GABA neurons expressing GABA receptors 13,288.0,0.171,51.0,93,3,3.23,0.90 (0.75-1.04),90,96.77,5.33 (4.87-5.80)
endothelial cells 9,586.0,0.584,96.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,253.0,0.038,6.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,1300.0,0.123,14.0,306,10,3.27,1.77 (1.14-2.40),296,96.73,5.26 (5.01-5.52)
astrocytes 8,727.0,0.194,87.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.096,71.0,276,24,8.7,3.49 (2.52-4.45),252,91.3,3.55 (3.33-3.77)
oligodendrocytes 10,2107.0,0.376,96.0,358,14,3.91,1.54 (0.74-2.34),344,96.09,3.99 (3.80-4.18)
connective tissue cells 21,152.0,0.161,10.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52)
astrocytes 15,261.0,0.174,64.0,8,2,25.0,1.89 (-1.31-5.09),6,75.0,4.39 (1.96-6.83)
oligodendrocytes 16,149.0,0.15,24.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12)
da neurons 6,228.0,0.09,38.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,70.0,0.223,18.0,76,0,0.0,NA,76,100.0,4.20 (3.69-4.72)
astrocytes 4,752.0,0.164,65.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,309.0,0.149,67.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.147,81.0,15,7,46.67,3.78 (1.95-5.61),8,53.33,2.77 (0.62-4.92)
oligodendrocytes 2,237.0,0.163,25.0,26,1,3.85,NA,25,96.15,5.22 (4.28-6.15)
