tipo_celular,module_size,SMC1A_MM,SMC1A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.191,57.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91)
T cells 18,282.0,0.236,87.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.184,99.0,353,43,12.18,2.07 (1.69-2.46),310,87.82,4.22 (4.04-4.40)
GABA neurons expressing GLU receptors 22,487.0,0.106,9.0,73,3,4.11,1.56 (1.55-1.57),70,95.89,2.81 (2.42-3.21)
GLU like neurons 17,1316.0,0.137,62.0,101,2,1.98,2.89 (2.81-2.97),99,98.02,3.06 (2.70-3.41)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.13,70.0,275,34,12.36,1.94 (1.48-2.40),241,87.64,4.37 (4.12-4.63)
oligodendrocytes 20,358.0,0.161,55.0,31,2,6.45,2.80 (NA-NA),29,93.55,2.34 (1.90-2.79)
GABA like neurons 14,3052.0,0.085,10.0,125,4,3.2,3.66 (2.98-4.33),121,96.8,3.34 (3.00-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.069,38.0,276,29,10.51,2.24 (1.84-2.64),247,89.49,3.74 (3.51-3.97)
oligodendrocytes 10,483.0,0.233,76.0,129,1,0.78,6.08 (NA-NA),128,99.22,3.40 (3.01-3.79)
connective tissue cells 21,90.0,0.43,97.0,3,3,100.0,2.29 (2.29-2.29),0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,105.0,0.247,68.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,101.0,0.288,35.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.154,100.0,238,7,2.94,2.16 (1.23-3.09),231,97.06,3.68 (3.46-3.90)
microglia 1,958.0,0.105,42.0,290,12,4.14,3.18 (2.23-4.13),278,95.86,3.85 (3.61-4.08)
oligodendrocytes 3,681.0,0.089,43.0,87,24,27.59,1.95 (1.45-2.45),63,72.41,2.84 (2.54-3.14)
oligodendrocytes 2,1630.0,0.156,79.0,154,1,0.65,3.22 (NA-NA),153,99.35,3.24 (2.98-3.51)
