tipo_celular,module_size,CACNG2_MM,CACNG2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,666.0,0.126,20.0,127,21,16.54,2.70 (2.20-3.19),106,83.46,4.20 (3.82-4.58)
GABA neurons expressing GLU receptors 22,1069.0,0.199,74.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,229.0,0.23,71.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,853.0,0.215,87.0,133,14,10.53,2.81 (1.19-4.42),119,89.47,3.30 (3.00-3.60)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.348,96.0,306,68,22.22,3.75 (3.34-4.15),238,77.78,5.66 (5.37-5.95)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,411.0,0.089,46.0,103,28,27.18,4.82 (4.36-5.28),75,72.82,5.84 (5.35-6.34)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
