tipo_celular,module_size,INF2_MM,INF2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.054,1.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,229.0,0.132,23.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.193,54.0,54,5,9.26,5.16 (3.88-6.44),49,90.74,4.78 (4.08-5.48)
oligodendrocytes 20,403.0,0.136,55.0,18,3,16.67,0.58 (0.22-0.94),15,83.33,2.14 (1.39-2.88)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,771.0,0.137,53.0,48,4,8.33,4.47 (2.05-6.88),44,91.67,4.43 (3.62-5.23)
oligodendrocyte progenitor cells 12,708.0,0.127,57.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08)
oligodendrocytes 10,1277.0,0.098,44.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,125.0,0.267,35.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99)
astrocytes 15,268.0,0.074,42.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38)
oligodendrocytes 16,88.0,0.207,58.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.273,18.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.081,1.0,104,3,2.88,0.90 (-0.14-1.94),101,97.12,2.93 (2.65-3.20)
oligodendrocytes 0,187.0,0.077,2.0,14,1,7.14,5.34 (NA-NA),13,92.86,5.54 (4.88-6.21)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,242.0,0.079,16.0,6,2,33.33,5.55 (5.23-5.87),4,66.67,6.20 (4.76-7.64)
oligodendrocytes 2,131.0,0.15,28.0,20,0,0.0,NA,20,100.0,4.51 (3.77-5.25)
