tipo_celular,module_size,CCNYL1_MM,CCNYL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.098,24.0,136,1,0.74,1.96 (NA-NA),135,99.26,3.22 (2.95-3.49)
oligodendrocyte progenitor cells 7,666.0,0.19,66.0,127,20,15.75,3.35 (2.68-4.02),107,84.25,3.98 (3.59-4.37)
GABA neurons expressing GLU receptors 22,567.0,0.103,10.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,1247.0,0.127,45.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,132.0,0.126,22.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,295.0,0.024,2.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,2090.0,0.08,6.0,74,1,1.35,1.92 (NA-NA),73,98.65,2.96 (2.58-3.34)
astrocytes 8,577.0,0.025,1.0,83,5,6.02,2.15 (1.34-2.97),78,93.98,3.34 (2.87-3.81)
oligodendrocyte progenitor cells 12,3303.0,0.051,16.0,276,16,5.8,1.99 (1.45-2.53),260,94.2,3.67 (3.45-3.89)
oligodendrocytes 10,2107.0,0.057,7.0,358,17,4.75,1.76 (1.20-2.32),341,95.25,4.00 (3.81-4.19)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,458.0,0.071,35.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,61.0,0.153,22.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,107.0,0.371,83.0,1,0,0.0,NA,1,100.0,3.12 (NA-NA)
astrocytes 4,1807.0,0.131,25.0,104,9,8.65,1.51 (0.82-2.20),95,91.35,3.00 (2.72-3.29)
oligodendrocytes 0,2078.0,0.106,33.0,238,3,1.26,2.11 (0.24-3.98),235,98.74,3.66 (3.44-3.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.052,9.0,15,0,0.0,NA,15,100.0,3.31 (1.95-4.68)
oligodendrocytes 2,1630.0,0.129,26.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
