tipo_celular,module_size,MBTPS2_MM,MBTPS2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.13,73.0,136,7,5.15,2.16 (1.49-2.83),129,94.85,3.27 (2.99-3.55)
oligodendrocyte progenitor cells 7,4285.0,0.137,52.0,353,50,14.16,2.27 (1.91-2.64),303,85.84,4.25 (4.07-4.44)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,322.0,0.053,17.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,3052.0,0.093,14.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,603.0,0.024,1.0,89,8,8.99,1.96 (0.77-3.14),81,91.01,2.87 (2.51-3.23)
oligodendrocyte progenitor cells 12,3303.0,0.092,67.0,276,38,13.77,2.16 (1.92-2.39),238,86.23,3.85 (3.61-4.09)
oligodendrocytes 10,1277.0,0.04,6.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,112.0,0.386,95.0,7,2,28.57,2.00 (1.71-2.28),5,71.43,1.94 (0.81-3.06)
astrocytes 15,418.0,0.055,30.0,54,2,3.7,2.49 (0.14-4.85),52,96.3,3.73 (3.29-4.18)
oligodendrocytes 16,75.0,0.084,2.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,58.0,0.337,55.0,6,0,0.0,NA,6,100.0,5.75 (NA-NA)
astrocytes 4,1807.0,0.141,44.0,104,19,18.27,1.77 (1.37-2.18),85,81.73,3.13 (2.82-3.44)
oligodendrocytes 0,2078.0,0.105,30.0,238,16,6.72,2.46 (2.09-2.82),222,93.28,3.74 (3.51-3.97)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.046,6.0,76,3,3.95,6.56 (5.90-7.22),73,96.05,3.00 (2.63-3.37)
oligodendrocytes 2,1630.0,0.171,95.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52)
