tipo_celular,module_size,SREK1IP1_MM,SREK1IP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.212,88.0,71,0,0.0,NA,71,100.0,2.62 (2.21-3.03)
T cells 18,506.0,0.129,24.0,225,1,0.44,0.55 (NA-NA),224,99.56,3.63 (3.38-3.88)
astrocytes 5,1656.0,0.109,40.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.115,22.0,353,2,0.57,1.25 (-0.12-2.62),351,99.43,3.91 (3.72-4.09)
GABA neurons expressing GLU receptors 22,1069.0,0.201,75.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,685.0,0.072,11.0,135,1,0.74,0.55 (NA-NA),134,99.26,3.21 (2.91-3.52)
da like neurons 11,137.0,0.162,16.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.079,7.0,302,0,0.0,NA,302,100.0,3.98 (3.75-4.21)
oligodendrocytes 20,938.0,0.029,4.0,169,1,0.59,0.55 (NA-NA),168,99.41,3.50 (3.29-3.72)
GABA like neurons 14,2402.0,0.331,71.0,455,1,0.22,0.55 (NA-NA),454,99.78,4.35 (4.17-4.54)
astrocytes 8,727.0,0.04,4.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,1049.0,0.092,50.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06)
oligodendrocytes 10,2107.0,0.082,18.0,358,2,0.56,1.25 (-0.12-2.62),356,99.44,3.88 (3.69-4.07)
connective tissue cells 21,111.0,0.274,40.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00)
astrocytes 15,458.0,0.039,10.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,151.0,0.249,84.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,108.0,0.302,36.0,2,0,0.0,NA,2,100.0,NA
astrocytes 4,1807.0,0.141,43.0,104,2,1.92,1.25 (-0.12-2.62),102,98.08,2.90 (2.61-3.18)
oligodendrocytes 0,613.0,0.079,2.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46)
microglia 1,813.0,0.077,7.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,743.0,0.057,15.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.117,10.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
