tipo_celular,module_size,FANK1_MM,FANK1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.089,6.0,166,35,21.08,2.03 (1.75-2.32),131,78.92,3.84 (3.57-4.11)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,795.0,0.158,64.0,80,4,5.0,4.39 (4.23-4.56),76,95.0,5.75 (5.32-6.18)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.161,55.0,74,11,14.86,2.10 (1.87-2.33),63,85.14,3.12 (2.68-3.55)
astrocytes 8,1266.0,0.08,49.0,66,22,33.33,2.05 (1.47-2.62),44,66.67,3.91 (3.47-4.35)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.042,10.0,96,6,6.25,2.19 (1.35-3.03),90,93.75,3.73 (3.26-4.20)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,112.0,0.267,23.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.134,21.0,65,2,3.08,4.33 (NA-NA),63,96.92,2.94 (2.54-3.33)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
