tipo_celular,module_size,NOVA1_MM,NOVA1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.145,69.0,166,33,19.88,2.08 (1.71-2.45),133,80.12,3.79 (3.52-4.06)
oligodendrocyte progenitor cells 7,448.0,0.214,80.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,567.0,0.141,26.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,489.0,0.349,95.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,408.0,0.091,17.0,25,7,28.0,1.85 (0.61-3.09),18,72.0,6.10 (4.78-7.43)
GABA neurons expressing GABA receptors 13,288.0,0.181,55.0,93,3,3.23,0.90 (0.75-1.04),90,96.77,5.33 (4.87-5.80)
endothelial cells 9,658.0,0.208,52.0,120,1,0.83,2.86 (NA-NA),119,99.17,4.62 (4.31-4.94)
oligodendrocytes 20,330.0,0.258,79.0,36,16,44.44,2.02 (1.78-2.26),20,55.56,1.83 (1.21-2.46)
GABA like neurons 14,1300.0,0.083,6.0,306,7,2.29,1.43 (0.73-2.13),299,97.71,5.22 (4.97-5.47)
astrocytes 8,218.0,0.081,46.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,1049.0,0.235,87.0,235,6,2.55,3.38 (2.97-3.78),229,97.45,3.84 (3.60-4.08)
oligodendrocytes 10,130.0,0.438,60.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,183.0,0.169,11.0,32,1,3.12,0.87 (NA-NA),31,96.88,5.26 (4.67-5.86)
astrocytes 15,1768.0,0.115,75.0,105,28,26.67,2.34 (1.79-2.89),77,73.33,3.55 (3.16-3.94)
oligodendrocytes 16,149.0,0.125,13.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12)
da neurons 6,448.0,0.216,97.0,43,1,2.33,3.68 (NA-NA),42,97.67,3.27 (2.73-3.81)
astrocytes microglia 23,190.0,0.363,95.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92)
astrocytes 4,161.0,0.139,23.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91)
oligodendrocytes 0,309.0,0.104,19.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.141,82.0,111,3,2.7,3.90 (2.39-5.42),108,97.3,3.28 (2.93-3.63)
oligodendrocytes 2,237.0,0.067,0.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
