tipo_celular,module_size,FOXN2_MM,FOXN2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.141,37.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45)
T cells 18,624.0,0.25,96.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,165.0,0.179,47.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01)
oligodendrocyte progenitor cells 7,628.0,0.096,5.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41)
GABA neurons expressing GLU receptors 22,567.0,0.245,70.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,637.0,0.278,79.0,91,7,7.69,0.61 (0.16-1.06),84,92.31,4.99 (4.54-5.45)
da like neurons 11,408.0,0.269,69.0,25,6,24.0,1.31 (0.53-2.09),19,76.0,6.03 (4.79-7.27)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.185,43.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,295.0,0.208,57.0,28,5,17.86,2.24 (1.83-2.64),23,82.14,2.18 (1.61-2.74)
GABA like neurons 14,3052.0,0.133,45.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.308,82.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,143.0,0.43,50.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,130.0,0.494,69.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,111.0,0.331,70.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.048,12.0,105,15,14.29,1.37 (1.05-1.69),90,85.71,3.55 (3.21-3.89)
oligodendrocytes 16,122.0,0.147,9.0,11,0,0.0,NA,11,100.0,3.57 (3.08-4.06)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,28.0,0.425,63.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.161,80.0,104,23,22.12,1.61 (1.27-1.94),81,77.88,3.26 (2.96-3.56)
oligodendrocytes 0,1186.0,0.137,35.0,300,2,0.67,2.17 (1.91-2.43),298,99.33,3.81 (3.60-4.01)
microglia 1,1615.0,0.177,97.0,161,39,24.22,1.66 (1.41-1.92),122,75.78,3.95 (3.68-4.21)
oligodendrocytes 3,1003.0,0.111,64.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,348.0,0.154,28.0,114,0,0.0,NA,114,100.0,5.11 (4.70-5.52)
