tipo_celular,module_size,ZNF236_MM,ZNF236_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178.0,0.153,15.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,727.0,0.164,65.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,499.0,0.109,13.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,4285.0,0.155,79.0,353,35,9.92,1.58 (1.32-1.84),318,90.08,4.23 (4.06-4.40)
GABA neurons expressing GLU receptors 22,714.0,0.148,31.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,300.0,0.227,80.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93)
da like neurons 11,209.0,0.299,78.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.107,33.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,676.0,0.069,30.0,110,3,2.73,0.90 (0.75-1.04),107,97.27,5.16 (4.73-5.58)
GABA like neurons 14,2090.0,0.135,36.0,74,15,20.27,2.32 (2.04-2.60),59,79.73,3.13 (2.66-3.60)
astrocytes 8,140.0,0.189,70.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.055,20.0,276,29,10.51,1.69 (1.48-1.90),247,89.49,3.84 (3.62-4.06)
oligodendrocytes 10,2107.0,0.126,41.0,358,39,10.89,1.55 (1.30-1.79),319,89.11,4.26 (4.08-4.44)
connective tissue cells 21,96.0,0.255,28.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.095,57.0,105,12,11.43,1.14 (0.87-1.40),93,88.57,3.51 (3.17-3.84)
oligodendrocytes 16,91.0,0.255,85.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,125.0,0.293,41.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.151,49.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,2078.0,0.108,37.0,238,9,3.78,2.10 (1.58-2.62),229,96.22,3.71 (3.48-3.93)
microglia 1,1615.0,0.103,40.0,161,35,21.74,1.58 (1.32-1.84),126,78.26,3.88 (3.62-4.15)
oligodendrocytes 3,1003.0,0.049,5.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804.0,0.135,30.0,84,2,2.38,0.51 (-0.09-1.11),82,97.62,2.76 (2.42-3.09)
