tipo_celular,module_size,RASGEF1B_MM,RASGEF1B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,125,0.135,9.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA)
T cells 18,506,0.12,18.0,225,3,1.33,1.80 (0.03-3.57),222,98.67,3.64 (3.39-3.89)
astrocytes 5,322,0.259,81.0,58,7,12.07,3.15 (1.40-4.89),51,87.93,4.32 (3.91-4.73)
oligodendrocyte progenitor cells 7,448,0.241,84.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,714,0.365,97.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,795,0.404,99.0,80,2,2.5,2.53 (2.34-2.73),78,97.5,5.80 (5.40-6.19)
da like neurons 11,153,0.221,45.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,417,0.205,74.0,213,4,1.88,1.00 (0.24-1.76),209,98.12,3.82 (3.58-4.06)
endothelial cells 9,916,0.07,5.0,302,2,0.66,0.75 (-0.32-1.81),300,99.34,4.01 (3.79-4.23)
oligodendrocytes 20,250,0.095,18.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2402,0.092,6.0,455,1,0.22,0.55 (NA-NA),454,99.78,4.35 (4.17-4.54)
astrocytes 8,47,0.153,61.0,76,0,0.0,NA,76,100.0,4.02 (3.72-4.33)
oligodendrocyte progenitor cells 12,708,0.281,85.0,32,0,0.0,NA,32,100.0,3.25 (2.44-4.05)
oligodendrocytes 10,130,0.279,26.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,84,0.133,2.0,4,0,0.0,NA,4,100.0,4.34 (4.07-4.60)
astrocytes 15,1401,0.274,100.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,149,0.195,46.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12)
da neurons 6,729,0.159,54.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,137,0.27,20.0,188,1,0.53,0.55 (NA-NA),187,99.47,4.37 (4.03-4.71)
astrocytes 4,208,0.224,64.0,173,0,0.0,NA,173,100.0,3.80 (3.50-4.10)
oligodendrocytes 0,546,0.082,5.0,252,3,1.19,1.26 (0.47-2.05),249,98.81,4.13 (3.89-4.38)
microglia 1,346,0.133,39.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,32,0.246,49.0,81,0,0.0,NA,81,100.0,4.04 (3.74-4.34)
oligodendrocytes 2,526,0.102,5.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
