tipo_celular,module_size,BRD9_MM,BRD9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178.0,0.237,59.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,388.0,0.063,6.0,84,10,11.9,2.90 (2.24-3.57),74,88.1,2.98 (2.62-3.35)
astrocytes 5,328.0,0.103,17.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91)
oligodendrocyte progenitor cells 7,4285.0,0.064,1.0,353,62,17.56,2.16 (1.84-2.47),291,82.44,4.37 (4.20-4.54)
GABA neurons expressing GLU receptors 22,1069.0,0.159,46.0,37,9,24.32,2.98 (1.94-4.03),28,75.68,1.91 (1.45-2.38)
GLU like neurons 17,1316.0,0.235,98.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,137.0,0.126,12.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.042,1.0,302,2,0.66,0.97 (-0.53-2.46),300,99.34,4.01 (3.78-4.23)
oligodendrocytes 20,253.0,0.269,84.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,2402.0,0.172,31.0,455,23,5.05,1.42 (1.04-1.79),432,94.95,4.56 (4.39-4.74)
astrocytes 8,727.0,0.147,73.0,29,1,3.45,1.82 (NA-NA),28,96.55,2.39 (1.88-2.90)
oligodendrocyte progenitor cells 12,1049.0,0.061,26.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06)
oligodendrocytes 10,483.0,0.078,29.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,92.0,0.274,41.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,443.0,0.217,86.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55)
oligodendrocytes 16,121.0,0.206,48.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,140.0,0.269,22.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,1807.0,0.123,15.0,104,26,25.0,1.59 (1.29-1.89),78,75.0,3.34 (3.03-3.64)
oligodendrocytes 0,86.0,0.085,3.0,2,0,0.0,NA,2,100.0,NA
microglia 1,406.0,0.044,0.0,278,1,0.36,4.78 (NA-NA),277,99.64,4.36 (4.09-4.63)
oligodendrocytes 3,357.0,0.051,10.0,127,7,5.51,4.34 (3.40-5.28),120,94.49,3.07 (2.73-3.41)
oligodendrocytes 2,526.0,0.087,3.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
