tipo_celular,module_size,RPS13_MM,RPS13_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.365,73.0,98,46,46.94,3.31 (2.67-3.96),52,53.06,3.13 (2.45-3.81)
T cells 18,506.0,0.337,80.0,225,48,21.33,3.36 (2.76-3.95),177,78.67,3.68 (3.40-3.95)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,448.0,0.331,93.0,108,14,12.96,4.20 (3.33-5.07),94,87.04,3.11 (2.63-3.59)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.508,92.0,302,21,6.95,3.69 (2.82-4.56),281,93.05,4.00 (3.77-4.24)
oligodendrocytes 20,295.0,0.137,28.0,28,2,7.14,1.89 (0.99-2.80),26,92.86,2.22 (1.72-2.71)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.434,97.0,235,26,11.06,3.84 (3.22-4.45),209,88.94,3.82 (3.57-4.07)
oligodendrocytes 10,483.0,0.275,80.0,129,25,19.38,4.44 (3.71-5.17),104,80.62,3.23 (2.80-3.67)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,96.0,0.355,95.0,102,45,44.12,2.70 (2.18-3.21),57,55.88,3.86 (3.49-4.24)
da neurons 6,729.0,0.205,75.0,182,30,16.48,3.49 (2.71-4.26),152,83.52,3.66 (3.40-3.93)
astrocytes microglia 23,137.0,0.452,81.0,188,50,26.6,2.96 (2.41-3.52),138,73.4,4.97 (4.61-5.33)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.197,65.0,252,57,22.62,2.80 (2.23-3.37),195,77.38,4.47 (4.22-4.72)
microglia 1,406.0,0.411,79.0,278,16,5.76,4.12 (3.23-5.01),262,94.24,4.37 (4.09-4.66)
oligodendrocytes 3,303.0,0.21,74.0,154,20,12.99,4.38 (3.60-5.17),134,87.01,3.53 (3.19-3.87)
oligodendrocytes 2,526.0,0.286,56.0,213,12,5.63,4.12 (3.23-5.01),201,94.37,3.97 (3.68-4.26)
