tipo_celular,module_size,SLC20A2_MM,SLC20A2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218.0,0.135,6.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,477.0,0.16,49.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,118.0,0.217,48.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94)
oligodendrocyte progenitor cells 7,200.0,0.177,49.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04)
GABA neurons expressing GLU receptors 22,599.0,0.166,28.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,685.0,0.116,40.0,135,9,6.67,1.54 (0.63-2.44),126,93.33,3.27 (2.96-3.58)
da like neurons 11,197.0,0.27,68.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.532,92.0,62,1,1.61,2.43 (NA-NA),61,98.39,4.08 (3.63-4.53)
oligodendrocytes 20,250.0,0.142,29.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2090.0,0.141,40.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,279.0,0.302,64.0,78,10,12.82,2.85 (2.29-3.40),68,87.18,4.54 (4.10-4.99)
oligodendrocyte progenitor cells 12,3303.0,0.083,57.0,276,6,2.17,1.58 (1.04-2.13),270,97.83,3.60 (3.38-3.82)
oligodendrocytes 10,1277.0,0.185,87.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,183.0,0.203,22.0,32,4,12.5,3.74 (1.81-5.67),28,87.5,5.32 (4.67-5.98)
astrocytes 15,268.0,0.176,74.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38)
oligodendrocytes 16,156.0,0.187,42.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,398.0,0.143,47.0,138,9,6.52,2.36 (1.41-3.32),129,93.48,5.03 (4.66-5.40)
astrocytes microglia 23,253.0,0.172,9.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17)
astrocytes 4,251.0,0.154,44.0,34,2,5.88,3.77 (1.63-5.91),32,94.12,5.38 (4.75-6.00)
oligodendrocytes 0,1186.0,0.141,42.0,300,1,0.33,2.06 (NA-NA),299,99.67,3.80 (3.59-4.01)
microglia 1,813.0,0.1,28.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,639.0,0.145,79.0,15,1,6.67,0.39 (NA-NA),14,93.33,3.56 (2.17-4.95)
oligodendrocytes 2,804.0,0.13,24.0,84,1,1.19,0.21 (NA-NA),83,98.81,2.73 (2.39-3.06)
