tipo_celular,module_size,POLR2A_MM,POLR2A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,125,0.245,63.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA)
T cells 18,477,0.174,57.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,423,0.163,58.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88)
oligodendrocyte progenitor cells 7,666,0.128,22.0,127,0,0.0,NA,127,100.0,3.83 (3.49-4.17)
GABA neurons expressing GLU receptors 22,848,0.153,25.0,262,0,0.0,NA,262,100.0,4.16 (3.91-4.40)
GLU like neurons 17,685,0.131,50.0,135,1,0.74,1.18 (NA-NA),134,99.26,3.21 (2.90-3.51)
da like neurons 11,853,0.2,83.0,133,9,6.77,1.51 (0.74-2.27),124,93.23,3.41 (3.09-3.72)
GABA neurons expressing GABA receptors 13,65,0.22,77.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59)
endothelial cells 9,385,0.098,44.0,275,11,4.0,1.53 (0.81-2.24),264,96.0,4.10 (3.84-4.36)
oligodendrocytes 20,348,0.196,71.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,2402,0.198,41.0,455,11,2.42,1.53 (0.81-2.24),444,97.58,4.44 (4.26-4.62)
astrocytes 8,577,0.173,87.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70)
oligodendrocyte progenitor cells 12,708,0.049,15.0,32,5,15.62,0.42 (0.32-0.52),27,84.38,3.86 (3.08-4.64)
oligodendrocytes 10,735,0.103,55.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,90,0.344,79.0,3,3,100.0,2.29 (2.29-2.29),0,0.0,NA
astrocytes 15,338,0.148,50.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,158,0.236,74.0,30,0,0.0,NA,30,100.0,2.33 (1.68-2.98)
da neurons 6,518,0.071,9.0,122,3,2.46,0.48 (0.39-0.58),119,97.54,4.10 (3.72-4.49)
astrocytes microglia 23,134,0.291,37.0,2,0,0.0,NA,2,100.0,2.08 (-0.39-4.55)
astrocytes 4,514,0.249,76.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79)
oligodendrocytes 0,2078,0.14,93.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,480,0.127,15.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,639,0.087,43.0,15,3,20.0,0.35 (0.26-0.44),12,80.0,4.20 (2.87-5.53)
oligodendrocytes 2,1630,0.134,33.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
