tipo_celular,module_size,TUBG2_MM,TUBG2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.113,46.0,136,1,0.74,1.23 (NA-NA),135,99.26,3.23 (2.95-3.50)
oligodendrocyte progenitor cells 7,4285.0,0.111,18.0,353,29,8.22,1.85 (1.38-2.32),324,91.78,4.11 (3.93-4.29)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,637.0,0.086,15.0,91,16,17.58,2.16 (1.25-3.07),75,82.42,5.28 (4.81-5.75)
da like neurons 11,853.0,0.099,26.0,133,12,9.02,1.49 (0.73-2.26),121,90.98,3.46 (3.15-3.78)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,322.0,0.188,73.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,2402.0,0.17,31.0,455,22,4.84,1.86 (1.26-2.47),433,95.16,4.49 (4.31-4.68)
astrocytes 8,603.0,0.078,51.0,89,3,3.37,2.58 (1.22-3.95),86,96.63,2.77 (2.40-3.13)
oligodendrocyte progenitor cells 12,1049.0,0.047,14.0,235,1,0.43,2.97 (NA-NA),234,99.57,3.83 (3.59-4.06)
oligodendrocytes 10,806.0,0.097,25.0,261,24,9.2,4.01 (3.48-4.54),237,90.8,4.40 (4.14-4.66)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.024,1.0,96,10,10.42,3.63 (2.74-4.51),86,89.58,3.61 (3.11-4.11)
oligodendrocytes 16,155.0,0.356,98.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24)
da neurons 6,448.0,0.086,30.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,99.0,0.401,88.0,3,0,0.0,NA,3,100.0,1.85 (0.77-2.94)
astrocytes 4,1807.0,0.163,82.0,104,6,5.77,0.75 (0.43-1.07),98,94.23,3.00 (2.73-3.28)
oligodendrocytes 0,2078.0,0.085,6.0,238,6,2.52,1.98 (0.89-3.06),232,97.48,3.68 (3.46-3.90)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.06,18.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.153,73.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
