tipo_celular,module_size,PPP2R2C_MM,PPP2R2C_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.112,55.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,714.0,0.133,21.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,1247.0,0.172,73.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,153.0,0.215,45.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,65.0,0.215,74.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.075,25.0,169,1,0.59,0.55 (NA-NA),168,99.41,3.50 (3.29-3.72)
GABA like neurons 14,1300.0,0.331,94.0,306,4,1.31,2.93 (2.17-3.68),302,98.69,5.13 (4.87-5.40)
astrocytes 8,727.0,0.138,68.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,806.0,0.144,44.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.108,70.0,105,3,2.86,1.09 (0.25-1.94),102,97.14,3.28 (2.94-3.62)
oligodendrocytes 16,123.0,0.217,55.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,553.0,0.152,67.0,124,1,0.81,4.07 (NA-NA),123,99.19,4.18 (3.79-4.58)
astrocytes microglia 23,70.0,0.418,95.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA)
astrocytes 4,721.0,0.156,59.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,309.0,0.113,29.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,242.0,0.21,79.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,347.0,0.264,76.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
