tipo_celular,module_size,TRIP4_MM,TRIP4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.163,58.0,71,9,12.68,2.28 (1.21-3.34),62,87.32,2.67 (2.23-3.12)
T cells 18,388.0,0.076,9.0,84,8,9.52,2.52 (2.17-2.86),76,90.48,3.02 (2.66-3.38)
astrocytes 5,1656.0,0.098,24.0,136,6,4.41,1.97 (1.31-2.62),130,95.59,3.27 (3.00-3.55)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,1069.0,0.116,17.0,37,5,13.51,2.06 (1.60-2.51),32,86.49,2.17 (1.65-2.69)
GLU like neurons 17,380.0,0.148,34.0,39,7,17.95,3.83 (3.68-3.97),32,82.05,2.76 (2.09-3.42)
da like neurons 11,204.0,0.09,14.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.071,8.0,297,4,1.35,5.16 (NA-NA),293,98.65,3.67 (3.46-3.87)
oligodendrocytes 20,676.0,0.035,11.0,110,16,14.55,2.69 (1.87-3.52),94,85.45,5.45 (5.02-5.88)
GABA like neurons 14,2090.0,0.211,84.0,74,16,21.62,2.45 (1.92-2.98),58,78.38,3.07 (2.62-3.51)
astrocytes 8,1266.0,0.085,55.0,66,30,45.45,2.34 (1.67-3.02),36,54.55,3.92 (3.52-4.31)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,2107.0,0.112,35.0,358,82,22.91,2.28 (1.99-2.57),276,77.09,4.46 (4.28-4.64)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.052,15.0,105,32,30.48,2.46 (1.99-2.93),73,69.52,3.57 (3.15-3.98)
oligodendrocytes 16,75.0,0.082,0.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,92.0,0.331,57.0,11,0,0.0,NA,11,100.0,4.35 (3.80-4.91)
astrocytes 4,1807.0,0.155,70.0,104,32,30.77,2.12 (1.69-2.56),72,69.23,3.21 (2.88-3.54)
oligodendrocytes 0,2078.0,0.116,54.0,238,17,7.14,2.58 (2.04-3.12),221,92.86,3.72 (3.49-3.95)
microglia 1,1615.0,0.088,20.0,161,61,37.89,2.22 (1.93-2.52),100,62.11,4.10 (3.79-4.41)
oligodendrocytes 3,639.0,0.067,23.0,15,5,33.33,0.85 (0.13-1.56),10,66.67,4.86 (3.58-6.13)
oligodendrocytes 2,1630.0,0.125,20.0,154,4,2.6,4.89 (2.45-7.32),150,97.4,3.19 (2.93-3.46)
