tipo_celular,module_size,KIAA0825_MM,KIAA0825_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.126,22.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91)
T cells 18,624.0,0.155,52.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,499.0,0.168,53.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,4285.0,0.141,60.0,353,2,0.57,1.25 (-0.12-2.62),351,99.43,3.91 (3.72-4.09)
GABA neurons expressing GLU receptors 22,459.0,0.211,70.0,165,0,0.0,NA,165,100.0,5.06 (4.72-5.41)
GLU like neurons 17,795.0,0.104,33.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,137.0,0.435,93.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.103,29.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,938.0,0.045,10.0,169,1,0.59,0.55 (NA-NA),168,99.41,3.50 (3.29-3.72)
GABA like neurons 14,1300.0,0.251,70.0,306,1,0.33,1.95 (NA-NA),305,99.67,5.11 (4.84-5.37)
astrocytes 8,727.0,0.172,82.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.124,91.0,276,2,0.72,1.25 (-0.12-2.62),274,99.28,3.56 (3.35-3.78)
oligodendrocytes 10,1277.0,0.068,22.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,111.0,0.338,73.0,26,0,0.0,NA,26,100.0,2.52 (1.86-3.18)
astrocytes 15,1401.0,0.04,9.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,94.0,0.158,19.0,5,0,0.0,NA,5,100.0,2.89 (1.71-4.06)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,45.0,0.252,28.0,8,0,0.0,NA,8,100.0,NA
astrocytes 4,752.0,0.146,39.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,479.0,0.13,31.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,1615.0,0.085,15.0,161,2,1.24,1.25 (-0.12-2.62),159,98.76,3.30 (3.03-3.57)
oligodendrocytes 3,1003.0,0.084,37.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804.0,0.123,17.0,84,0,0.0,NA,84,100.0,2.69 (2.35-3.02)
