tipo_celular,module_size,NOC2L_MM,NOC2L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,848.0,0.143,20.0,262,13,4.96,2.44 (1.36-3.51),249,95.04,4.27 (4.02-4.51)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.139,34.0,410,15,3.66,4.18 (3.17-5.19),395,96.34,4.25 (4.06-4.44)
GABA neurons expressing GABA receptors 13,86.0,0.124,24.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.213,45.0,455,34,7.47,2.62 (1.85-3.40),421,92.53,4.53 (4.36-4.71)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,300.0,0.094,15.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67)
astrocytes microglia 23,96.0,0.326,57.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
