tipo_celular,module_size,SORD_MM,SORD_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.087,17.0,80,1,1.25,6.08 (NA-NA),79,98.75,3.64 (3.23-4.04)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,204.0,0.162,39.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,275.0,0.339,86.0,17,1,5.88,NA,16,94.12,1.72 (1.15-2.29)
GABA like neurons 14,3052.0,0.048,2.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,283.0,0.034,5.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,735.0,0.11,59.0,277,2,0.72,3.95 (2.92-4.98),275,99.28,3.89 (3.65-4.14)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.09,54.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,113.0,0.231,67.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75)
da neurons 6,228.0,0.109,62.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,111.0,0.268,15.0,2,0,0.0,NA,2,100.0,1.26 (-0.42-2.94)
astrocytes 4,1807.0,0.128,21.0,104,9,8.65,1.43 (0.78-2.09),95,91.35,3.01 (2.72-3.30)
oligodendrocytes 0,2078.0,0.086,7.0,238,5,2.1,2.04 (0.94-3.14),233,97.9,3.68 (3.46-3.90)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,681.0,0.053,9.0,87,8,9.2,1.62 (0.78-2.46),79,90.8,2.69 (2.41-2.97)
oligodendrocytes 2,1630.0,0.133,32.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
