tipo_celular,module_size,SUPT7L_MM,SUPT7L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.149,93.0,136,6,4.41,2.03 (1.43-2.62),130,95.59,3.27 (2.99-3.55)
oligodendrocyte progenitor cells 7,4285.0,0.106,13.0,353,70,19.83,2.34 (2.08-2.61),283,80.17,4.41 (4.22-4.59)
GABA neurons expressing GLU receptors 22,714.0,0.169,43.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,265.0,0.04,1.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.177,80.0,125,5,4.0,3.51 (3.07-3.95),120,96.0,3.34 (3.00-3.68)
astrocytes 8,603.0,0.038,9.0,89,8,8.99,1.57 (1.02-2.13),81,91.01,2.93 (2.55-3.30)
oligodendrocyte progenitor cells 12,138.0,0.032,3.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.08,45.0,105,26,24.76,2.29 (1.80-2.78),79,75.24,3.55 (3.16-3.94)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,228.0,0.058,2.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,110.0,0.282,34.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.176,95.0,104,33,31.73,2.18 (1.77-2.60),71,68.27,3.22 (2.88-3.56)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
