tipo_celular,module_size,FAM210A_MM,FAM210A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,159.0,0.181,30.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.136,51.0,353,7,1.98,0.70 (0.30-1.10),346,98.02,3.97 (3.79-4.15)
GABA neurons expressing GLU receptors 22,848.0,0.11,8.0,262,0,0.0,NA,262,100.0,4.16 (3.91-4.40)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,209.0,0.21,64.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.019,1.0,169,1,0.59,1.82 (NA-NA),168,99.41,3.49 (3.27-3.71)
GABA like neurons 14,3052.0,0.094,15.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.062,29.0,276,1,0.36,1.82 (NA-NA),275,99.64,3.55 (3.33-3.77)
oligodendrocytes 10,2107.0,0.048,5.0,358,6,1.68,0.51 (0.32-0.70),352,98.32,3.94 (3.75-4.12)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,94.0,0.306,93.0,5,0,0.0,NA,5,100.0,2.89 (1.71-4.06)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,124.0,0.277,29.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.107,35.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,480.0,0.082,2.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,854.0,0.056,10.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11)
oligodendrocytes 2,1630.0,0.135,36.0,154,1,0.65,1.82 (NA-NA),153,99.35,3.26 (2.99-3.52)
