tipo_celular,module_size,RAB22A_MM,RAB22A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.12,21.0,32,3,9.38,3.95 (2.24-5.67),29,90.62,3.69 (2.84-4.55)
T cells 18,388.0,0.09,13.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30)
astrocytes 5,1656.0,0.126,67.0,136,3,2.21,2.48 (1.24-3.71),133,97.79,3.23 (2.95-3.50)
oligodendrocyte progenitor cells 7,4285.0,0.153,77.0,353,36,10.2,2.42 (1.98-2.85),317,89.8,4.11 (3.92-4.30)
GABA neurons expressing GLU receptors 22,1069.0,0.167,52.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,685.0,0.156,63.0,135,18,13.33,2.51 (1.80-3.22),117,86.67,3.25 (2.93-3.58)
da like neurons 11,120.0,0.055,4.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.069,7.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,275.0,0.044,8.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,3052.0,0.197,91.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,1266.0,0.037,5.0,66,11,16.67,1.44 (0.60-2.28),55,83.33,3.65 (3.26-4.04)
oligodendrocyte progenitor cells 12,3303.0,0.076,47.0,276,24,8.7,2.81 (2.42-3.21),252,91.3,3.64 (3.40-3.87)
oligodendrocytes 10,735.0,0.076,35.0,277,1,0.36,NA,276,99.64,3.89 (3.65-4.14)
connective tissue cells 21,250.0,0.16,7.0,117,7,5.98,2.78 (1.69-3.87),110,94.02,5.61 (5.22-5.99)
astrocytes 15,1768.0,0.04,7.0,105,13,12.38,2.23 (1.59-2.87),92,87.62,3.36 (3.00-3.73)
oligodendrocytes 16,75.0,0.24,80.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.139,58.0,124,4,3.23,0.40 (NA-NA),120,96.77,4.23 (3.84-4.61)
astrocytes microglia 23,118.0,0.233,4.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.15,61.0,104,10,9.62,2.10 (1.22-2.97),94,90.38,2.95 (2.66-3.24)
oligodendrocytes 0,2078.0,0.122,65.0,238,13,5.46,2.74 (2.12-3.36),225,94.54,3.70 (3.47-3.93)
microglia 1,958.0,0.108,45.0,290,13,4.48,2.93 (2.31-3.55),277,95.52,3.87 (3.63-4.10)
oligodendrocytes 3,743.0,0.067,28.0,76,1,1.32,NA,75,98.68,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.145,56.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
