tipo_celular,module_size,CEP44_MM,CEP44_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,477.0,0.201,74.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.149,71.0,353,19,5.38,1.93 (1.30-2.55),334,94.62,4.02 (3.84-4.20)
GABA neurons expressing GLU receptors 22,714.0,0.203,61.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,685.0,0.086,18.0,135,3,2.22,1.23 (0.56-1.90),132,97.78,3.24 (2.93-3.55)
da like neurons 11,153.0,0.09,10.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,348.0,0.105,45.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,3052.0,0.125,37.0,125,4,3.2,4.19 (3.46-4.92),121,96.8,3.34 (3.01-3.66)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.063,30.0,276,10,3.62,2.47 (1.56-3.38),266,96.38,3.58 (3.36-3.81)
oligodendrocytes 10,2107.0,0.067,12.0,358,18,5.03,1.69 (1.10-2.28),340,94.97,3.99 (3.80-4.18)
connective tissue cells 21,100.0,0.428,98.0,8,0,0.0,NA,8,100.0,1.58 (-0.37-3.52)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,116.0,0.183,38.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,76.0,0.358,74.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,479.0,0.152,50.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.096,50.0,15,4,26.67,0.82 (-0.10-1.74),11,73.33,4.42 (3.01-5.83)
oligodendrocytes 2,1630.0,0.12,14.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
