tipo_celular,module_size,FAM120C_MM,FAM120C_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184.0,0.376,98.0,21,6,28.57,0.55 (0.29-0.81),15,71.43,3.05 (2.54-3.56)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.092,8.0,58,0,0.0,NA,58,100.0,4.17 (3.75-4.60)
oligodendrocyte progenitor cells 7,4285.0,0.139,55.0,353,10,2.83,0.98 (0.43-1.54),343,97.17,4.00 (3.82-4.18)
GABA neurons expressing GLU receptors 22,703.0,0.296,95.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,853.0,0.126,47.0,133,7,5.26,0.83 (0.48-1.18),126,94.74,3.41 (3.11-3.72)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,348.0,0.049,21.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,3052.0,0.146,57.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,260.0,0.039,6.0,4,1,25.0,0.26 (NA-NA),3,75.0,2.86 (1.07-4.66)
oligodendrocyte progenitor cells 12,3303.0,0.093,68.0,276,5,1.81,1.55 (0.67-2.43),271,98.19,3.59 (3.37-3.81)
oligodendrocytes 10,1277.0,0.114,54.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,90.0,0.329,74.0,3,0,0.0,NA,3,100.0,2.29 (2.29-2.29)
astrocytes 15,1768.0,0.056,18.0,105,5,4.76,1.55 (0.67-2.43),100,95.24,3.30 (2.96-3.64)
oligodendrocytes 16,88.0,0.227,69.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,107.0,0.279,27.0,1,0,0.0,NA,1,100.0,3.12 (NA-NA)
astrocytes 4,1807.0,0.138,38.0,104,6,5.77,1.38 (0.59-2.17),98,94.23,2.96 (2.68-3.25)
oligodendrocytes 0,2078.0,0.119,60.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,813.0,0.096,23.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,854.0,0.047,4.0,76,2,2.63,1.39 (1.08-1.71),74,97.37,2.82 (2.49-3.15)
oligodendrocytes 2,1630.0,0.126,20.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
