tipo_celular,module_size,MGAT1_MM,MGAT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.202,76.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,506.0,0.141,31.0,225,14,6.22,2.59 (1.54-3.65),211,93.78,3.68 (3.42-3.93)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.108,15.0,353,25,7.08,1.70 (1.23-2.17),328,92.92,4.11 (3.93-4.29)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.262,76.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70)
oligodendrocytes 20,330.0,0.22,66.0,36,2,5.56,1.21 (0.81-1.61),34,94.44,1.96 (1.60-2.33)
GABA like neurons 14,2402.0,0.068,3.0,455,29,6.37,2.06 (1.39-2.74),426,93.63,4.51 (4.33-4.69)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,103.0,0.017,0.0,9,0,0.0,NA,9,100.0,3.60 (1.89-5.31)
oligodendrocytes 10,483.0,0.129,54.0,129,2,1.55,4.11 (3.81-4.41),127,98.45,3.41 (3.02-3.81)
connective tissue cells 21,301.0,0.324,36.0,158,4,2.53,2.68 (0.41-4.95),154,97.47,4.31 (3.94-4.68)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,90.0,0.373,98.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,110.0,0.264,22.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.07,2.0,238,8,3.36,2.58 (1.78-3.39),230,96.64,3.67 (3.45-3.90)
microglia 1,346.0,0.183,68.0,43,1,2.33,4.56 (NA-NA),42,97.67,3.74 (3.23-4.26)
oligodendrocytes 3,743.0,0.053,10.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.134,33.0,154,1,0.65,8.28 (NA-NA),153,99.35,3.21 (2.95-3.46)
