tipo_celular,module_size,SYNE3_MM,SYNE3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.152,42.0,58,4,6.9,2.97 (1.20-4.73),54,93.1,4.28 (3.85-4.71)
oligodendrocyte progenitor cells 7,4285.0,0.138,55.0,353,32,9.07,2.10 (1.64-2.56),321,90.93,4.12 (3.94-4.30)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,676.0,0.047,20.0,110,13,11.82,3.58 (2.08-5.07),97,88.18,5.20 (4.75-5.65)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,771.0,0.038,5.0,48,2,4.17,4.53 (-2.81-11.88),46,95.83,4.42 (3.68-5.16)
oligodendrocyte progenitor cells 12,143.0,0.037,6.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,2107.0,0.133,44.0,358,29,8.1,1.99 (1.47-2.51),329,91.9,4.08 (3.89-4.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.081,45.0,96,7,7.29,3.53 (2.31-4.76),89,92.71,3.62 (3.14-4.09)
oligodendrocytes 16,116.0,0.206,51.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.372,73.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.114,8.0,104,13,12.5,2.22 (1.42-3.03),91,87.5,2.96 (2.67-3.26)
oligodendrocytes 0,2078.0,0.122,66.0,238,6,2.52,2.24 (1.03-3.46),232,97.48,3.67 (3.45-3.89)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,187.0,0.087,38.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,1630.0,0.156,79.0,154,1,0.65,2.12 (NA-NA),153,99.35,3.25 (2.99-3.52)
