tipo_celular,module_size,PPP1R16B_MM,PPP1R16B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,518.0,0.292,97.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,229.0,0.151,29.0,45,1,2.22,5.19 (NA-NA),44,97.78,5.00 (4.36-5.63)
GABA neurons expressing GLU receptors 22,823.0,0.217,74.0,23,1,4.35,NA,22,95.65,2.40 (1.67-3.12)
GLU like neurons 17,637.0,0.177,57.0,91,20,21.98,2.24 (1.49-3.00),71,78.02,5.44 (4.98-5.90)
da like neurons 11,408.0,0.282,71.0,25,9,36.0,1.42 (0.83-2.00),16,64.0,6.74 (5.82-7.67)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.203,50.0,120,35,29.17,4.11 (3.53-4.68),85,70.83,4.83 (4.46-5.20)
oligodendrocytes 20,676.0,0.487,78.0,110,21,19.09,3.58 (2.81-4.36),89,80.91,5.48 (5.00-5.96)
GABA like neurons 14,2090.0,0.194,76.0,74,2,2.7,NA,72,97.3,2.94 (2.57-3.32)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.587,99.0,32,8,25.0,0.80 (0.32-1.28),24,75.0,4.06 (3.26-4.86)
oligodendrocytes 10,236.0,0.618,82.0,82,17,20.73,4.42 (3.73-5.11),65,79.27,5.20 (4.55-5.86)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,153.0,0.427,77.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,261.0,0.204,64.0,42,12,28.57,2.47 (1.47-3.47),30,71.43,5.02 (4.38-5.66)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,116.0,0.185,1.0,7,4,57.14,3.09 (0.52-5.67),3,42.86,6.20 (NA-NA)
oligodendrocytes 2,237.0,0.237,61.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
