tipo_celular,module_size,GOLGA2_MM,GOLGA2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,282.0,0.216,70.0,241,7,2.9,4.27 (3.11-5.42),234,97.1,4.05 (3.79-4.30)
astrocytes 5,1656.0,0.088,12.0,136,8,5.88,2.79 (1.80-3.78),128,94.12,3.23 (2.95-3.52)
oligodendrocyte progenitor cells 7,4285.0,0.11,17.0,353,60,17.0,2.72 (2.29-3.15),293,83.0,4.21 (4.03-4.40)
GABA neurons expressing GLU receptors 22,400.0,0.177,36.0,24,13,54.17,1.70 (0.96-2.44),11,45.83,2.69 (2.12-3.26)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.133,30.0,410,31,7.56,3.26 (2.72-3.79),379,92.44,4.34 (4.14-4.53)
GABA neurons expressing GABA receptors 13,73.0,0.15,38.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17)
endothelial cells 9,338.0,0.08,19.0,191,11,5.76,4.19 (3.10-5.28),180,94.24,3.87 (3.64-4.09)
oligodendrocytes 20,279.0,0.19,44.0,16,1,6.25,4.17 (NA-NA),15,93.75,2.26 (1.50-3.01)
GABA like neurons 14,2402.0,0.217,47.0,455,49,10.77,2.99 (2.47-3.52),406,89.23,4.55 (4.36-4.74)
astrocytes 8,520.0,0.07,24.0,288,38,13.19,3.40 (2.91-3.88),250,86.81,4.30 (4.09-4.52)
oligodendrocyte progenitor cells 12,3303.0,0.056,22.0,276,49,17.75,2.95 (2.47-3.42),227,82.25,3.71 (3.47-3.95)
oligodendrocytes 10,806.0,0.13,40.0,261,24,9.2,3.20 (2.69-3.71),237,90.8,4.49 (4.23-4.75)
connective tissue cells 21,91.0,0.207,12.0,4,0,0.0,NA,4,100.0,0.35 (0.26-0.44)
astrocytes 15,1768.0,0.057,20.0,105,24,22.86,2.49 (1.85-3.13),81,77.14,3.45 (3.07-3.83)
oligodendrocytes 16,123.0,0.211,50.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,307.0,0.095,26.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,101.0,0.338,69.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.146,54.0,104,19,18.27,2.11 (1.49-2.73),85,81.73,3.04 (2.73-3.34)
oligodendrocytes 0,2078.0,0.064,1.0,238,19,7.98,3.66 (2.90-4.43),219,92.02,3.63 (3.40-3.86)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,303.0,0.061,8.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,1630.0,0.135,35.0,154,4,2.6,4.88 (2.51-7.25),150,97.4,3.21 (2.94-3.47)
