tipo_celular,module_size,ZFAT_MM,ZFAT_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211.0,0.256,88.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,349.0,0.057,3.0,68,3,4.41,0.90 (0.75-1.04),65,95.59,4.58 (4.05-5.12)
astrocytes 5,156.0,0.071,2.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.107,14.0,353,27,7.65,1.71 (1.47-1.94),326,92.35,4.13 (3.95-4.31)
GABA neurons expressing GLU receptors 22,599.0,0.088,2.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,795.0,0.082,19.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,197.0,0.167,38.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.134,45.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.047,8.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,411.0,0.025,2.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,90.0,0.498,100.0,3,0,0.0,NA,3,100.0,2.29 (2.29-2.29)
astrocytes 15,1768.0,0.079,42.0,105,11,10.48,1.13 (0.84-1.42),94,89.52,3.48 (3.14-3.81)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,115.0,0.227,7.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.108,5.0,104,16,15.38,1.36 (1.08-1.64),88,84.62,3.16 (2.87-3.45)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,1615.0,0.1,35.0,161,27,16.77,1.71 (1.47-1.94),134,83.23,3.68 (3.39-3.96)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
