tipo_celular,module_size,TMEM131L_MM,TMEM131L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.19,56.0,73,2,2.74,3.19 (2.38-4.01),71,97.26,3.58 (3.22-3.93)
T cells 18,610.0,0.183,73.0,98,3,3.06,0.47 (0.00-0.94),95,96.94,3.21 (2.90-3.52)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.145,66.0,353,5,1.42,1.34 (0.27-2.41),348,98.58,3.94 (3.75-4.12)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,380.0,0.264,93.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,87.0,0.414,88.0,3,0,0.0,NA,3,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,228.0,0.722,100.0,5,1,20.0,0.26 (NA-NA),4,80.0,4.00 (1.97-6.04)
GABA like neurons 14,3052.0,0.125,38.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.07,38.0,276,2,0.72,0.96 (0.79-1.12),274,99.28,3.57 (3.35-3.78)
oligodendrocytes 10,2107.0,0.344,94.0,358,8,2.23,1.17 (0.51-1.84),350,97.77,3.94 (3.75-4.13)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,90.0,0.258,74.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,44.0,0.224,12.0,2,0,0.0,NA,2,100.0,4.12 (4.00-4.25)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.142,95.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87)
microglia 1,813.0,0.152,80.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,681.0,0.121,71.0,87,2,2.3,2.64 (2.44-2.84),85,97.7,2.58 (2.30-2.86)
oligodendrocytes 2,348.0,0.166,35.0,114,11,9.65,3.15 (2.75-3.56),103,90.35,5.42 (4.99-5.85)
