tipo_celular,module_size,SELENOM_MM,SELENOM_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.257,84.0,164,3,1.83,4.94 (3.26-6.62),161,98.17,4.06 (3.73-4.40)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.325,85.0,410,4,0.98,2.75 (1.05-4.45),406,99.02,4.27 (4.08-4.46)
GABA neurons expressing GABA receptors 13,417.0,0.223,81.0,213,11,5.16,1.45 (0.67-2.24),202,94.84,3.92 (3.68-4.16)
endothelial cells 9,916.0,0.483,91.0,302,3,0.99,3.48 (2.19-4.77),299,99.01,3.99 (3.76-4.22)
oligodendrocytes 20,295.0,0.145,31.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,2402.0,0.632,97.0,455,13,2.86,1.61 (0.86-2.37),442,97.14,4.45 (4.27-4.64)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.193,83.0,235,2,0.85,4.11 (3.40-4.82),233,99.15,3.82 (3.59-4.05)
oligodendrocytes 10,806.0,0.18,57.0,261,2,0.77,2.99 (1.51-4.47),259,99.23,4.38 (4.14-4.62)
connective tissue cells 21,301.0,0.646,97.0,158,2,1.27,1.39 (-0.26-3.05),156,98.73,4.31 (3.94-4.67)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,121.0,0.196,39.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53)
da neurons 6,729.0,0.271,92.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.205,68.0,252,14,5.56,1.64 (0.93-2.34),238,94.44,4.29 (4.04-4.53)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,303.0,0.177,65.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526.0,0.326,69.0,213,1,0.47,4.47 (NA-NA),212,99.53,3.98 (3.70-4.25)
