tipo_celular,module_size,DSCAML1_MM,DSCAML1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,436.0,0.21,86.0,219,36,16.44,5.33 (4.61-6.05),183,83.56,5.19 (4.87-5.50)
GABA neurons expressing GLU receptors 22,459.0,0.275,85.0,165,19,11.52,4.38 (3.45-5.30),146,88.48,5.17 (4.80-5.54)
GLU like neurons 17,637.0,0.264,78.0,91,11,12.09,3.10 (2.07-4.13),80,87.91,4.82 (4.25-5.39)
da like neurons 11,408.0,0.368,82.0,25,4,16.0,2.16 (1.46-2.86),21,84.0,5.23 (3.73-6.72)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.546,90.0,74,19,25.68,5.67 (4.63-6.71),55,74.32,5.38 (4.72-6.04)
oligodendrocytes 20,676.0,0.33,58.0,110,27,24.55,5.27 (4.47-6.07),83,75.45,4.88 (4.34-5.42)
GABA like neurons 14,1300.0,0.299,88.0,306,45,14.71,4.59 (3.87-5.30),261,85.29,5.20 (4.92-5.48)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.107,49.0,32,3,9.38,3.92 (-0.36-8.19),29,90.62,3.16 (2.37-3.96)
oligodendrocytes 10,204.0,0.474,63.0,92,7,7.61,4.83 (3.04-6.61),85,92.39,5.81 (5.32-6.29)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,287.0,0.17,19.0,105,32,30.48,4.80 (4.01-5.59),73,69.52,5.25 (4.71-5.78)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,187.0,0.182,57.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,187.0,0.256,93.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,131.0,0.362,97.0,20,0,0.0,NA,20,100.0,4.51 (3.77-5.25)
