tipo_celular,module_size,STIM1_MM,STIM1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.23,75.0,73,2,2.74,4.52 (NA-NA),71,97.26,3.55 (3.20-3.90)
T cells 18,388.0,0.164,57.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30)
astrocytes 5,499.0,0.109,13.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,666.0,0.138,27.0,127,11,8.66,2.65 (1.68-3.63),116,91.34,4.00 (3.66-4.35)
GABA neurons expressing GLU receptors 22,400.0,0.272,84.0,24,9,37.5,1.07 (0.48-1.67),15,62.5,2.81 (2.30-3.31)
GLU like neurons 17,1247.0,0.177,75.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,191.0,0.139,24.0,93,14,15.05,3.84 (3.29-4.40),79,84.95,6.10 (5.70-6.51)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.181,83.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.116,30.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,1266.0,0.114,74.0,66,9,13.64,1.08 (0.35-1.81),57,86.36,3.63 (3.24-4.01)
oligodendrocyte progenitor cells 12,3303.0,0.106,80.0,276,11,3.99,1.85 (1.31-2.38),265,96.01,3.63 (3.41-3.85)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,106.0,0.215,24.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA)
astrocytes 15,1768.0,0.121,79.0,105,9,8.57,2.41 (1.48-3.34),96,91.43,3.29 (2.94-3.65)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,255.0,0.267,56.0,57,2,3.51,NA,55,96.49,2.65 (2.29-3.01)
astrocytes 4,752.0,0.126,14.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,813.0,0.107,39.0,79,8,10.13,3.21 (2.63-3.78),71,89.87,3.09 (2.64-3.54)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
