tipo_celular,module_size,QSOX1_MM,QSOX1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.134,33.0,71,4,5.63,3.19 (0.07-6.31),67,94.37,2.58 (2.19-2.97)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.123,31.0,353,45,12.75,2.48 (1.94-3.03),308,87.25,4.16 (3.98-4.34)
GABA neurons expressing GLU receptors 22,703.0,0.199,58.0,23,2,8.7,2.53 (NA-NA),21,91.3,2.07 (1.33-2.82)
GLU like neurons 17,300.0,0.019,0.0,16,3,18.75,2.29 (2.29-2.29),13,81.25,2.02 (0.93-3.12)
da like neurons 11,142.0,0.125,20.0,2,1,50.0,4.56 (NA-NA),1,50.0,NA
GABA neurons expressing GABA receptors 13,357.0,0.16,49.0,237,20,8.44,4.31 (3.28-5.34),217,91.56,4.42 (4.18-4.65)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,253.0,0.171,58.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,2090.0,0.167,59.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.021,1.0,276,30,10.87,2.57 (1.93-3.21),246,89.13,3.70 (3.47-3.92)
oligodendrocytes 10,735.0,0.061,21.0,277,6,2.17,4.71 (4.24-5.18),271,97.83,3.89 (3.64-4.13)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,92.0,0.26,80.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518.0,0.093,31.0,122,28,22.95,2.37 (1.62-3.12),94,77.05,4.46 (4.06-4.86)
astrocytes microglia 23,99.0,0.273,28.0,3,1,33.33,1.74 (NA-NA),2,66.67,1.91 (0.04-3.78)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.078,3.0,238,13,5.46,3.71 (2.55-4.88),225,94.54,3.63 (3.41-3.85)
microglia 1,958.0,0.088,15.0,290,11,3.79,2.49 (1.27-3.72),279,96.21,3.88 (3.65-4.11)
oligodendrocytes 3,743.0,0.039,2.0,76,1,1.32,3.74 (NA-NA),75,98.68,3.15 (2.75-3.55)
oligodendrocytes 2,347.0,0.142,18.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
