tipo_celular,module_size,INTS4_MM,INTS4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.152,36.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,624.0,0.175,69.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1656.0,0.119,56.0,136,11,8.09,3.43 (2.47-4.39),125,91.91,3.19 (2.90-3.47)
oligodendrocyte progenitor cells 7,4285.0,0.163,88.0,353,47,13.31,1.99 (1.66-2.33),306,86.69,4.29 (4.11-4.46)
GABA neurons expressing GLU receptors 22,714.0,0.147,29.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94)
GLU like neurons 17,1316.0,0.106,35.0,101,2,1.98,4.23 (1.47-6.99),99,98.02,3.02 (2.67-3.37)
da like neurons 11,140.0,0.154,24.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,676.0,0.044,17.0,110,3,2.73,0.90 (0.75-1.04),107,97.27,5.16 (4.73-5.58)
GABA like neurons 14,2090.0,0.126,30.0,74,12,16.22,2.16 (1.92-2.39),62,83.78,3.12 (2.68-3.57)
astrocytes 8,1266.0,0.044,9.0,66,14,21.21,1.49 (0.93-2.05),52,78.79,3.79 (3.39-4.19)
oligodendrocyte progenitor cells 12,3303.0,0.096,71.0,276,41,14.86,2.12 (1.79-2.44),235,85.14,3.89 (3.66-4.12)
oligodendrocytes 10,2107.0,0.064,11.0,358,52,14.53,2.06 (1.70-2.42),306,85.47,4.30 (4.12-4.48)
connective tissue cells 21,152.0,0.202,19.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52)
astrocytes 15,1768.0,0.093,55.0,105,16,15.24,1.45 (1.09-1.81),89,84.76,3.56 (3.21-3.91)
oligodendrocytes 16,116.0,0.211,55.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,101.0,0.494,100.0,6,1,16.67,3.65 (NA-NA),5,83.33,4.57 (2.52-6.62)
astrocytes 4,1807.0,0.159,76.0,104,28,26.92,2.05 (1.58-2.52),76,73.08,3.20 (2.88-3.51)
oligodendrocytes 0,2078.0,0.134,87.0,238,16,6.72,3.14 (2.43-3.86),222,93.28,3.68 (3.45-3.91)
microglia 1,813.0,0.115,49.0,79,1,1.27,4.40 (NA-NA),78,98.73,3.08 (2.68-3.49)
oligodendrocytes 3,681.0,0.074,30.0,87,37,42.53,1.82 (1.59-2.05),50,57.47,3.24 (2.87-3.60)
oligodendrocytes 2,1630.0,0.138,43.0,154,7,4.55,4.71 (4.37-5.06),147,95.45,3.16 (2.89-3.44)
