tipo_celular,module_size,DNAJC17_MM,DNAJC17_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,349.0,0.062,4.0,68,1,1.47,1.74 (NA-NA),67,98.53,4.42 (3.86-4.98)
astrocytes 5,1656.0,0.092,16.0,136,7,5.15,2.08 (1.57-2.60),129,94.85,3.28 (3.00-3.56)
oligodendrocyte progenitor cells 7,4285.0,0.13,41.0,353,34,9.63,1.80 (1.41-2.19),319,90.37,4.19 (4.01-4.36)
GABA neurons expressing GLU receptors 22,848.0,0.104,7.0,262,5,1.91,1.01 (0.40-1.62),257,98.09,4.24 (4.00-4.49)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,250.0,0.398,92.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2090.0,0.165,58.0,74,5,6.76,1.86 (1.51-2.20),69,93.24,3.03 (2.64-3.43)
astrocytes 8,1266.0,0.083,51.0,66,8,12.12,0.84 (0.41-1.27),58,87.88,3.62 (3.23-4.00)
oligodendrocyte progenitor cells 12,3303.0,0.025,1.0,276,18,6.52,1.58 (1.26-1.90),258,93.48,3.73 (3.51-3.94)
oligodendrocytes 10,1277.0,0.076,28.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,338.0,0.188,76.0,14,1,7.14,4.40 (NA-NA),13,92.86,1.55 (0.90-2.20)
oligodendrocytes 16,61.0,0.246,75.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,78.0,0.26,11.0,3,0,0.0,NA,3,100.0,0.39 (0.24-0.54)
astrocytes 4,1807.0,0.157,73.0,104,20,19.23,1.43 (1.12-1.73),84,80.77,3.24 (2.95-3.53)
oligodendrocytes 0,2078.0,0.108,38.0,238,4,1.68,1.70 (0.57-2.84),234,98.32,3.68 (3.45-3.90)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,681.0,0.04,3.0,87,18,20.69,1.31 (1.05-1.57),69,79.31,2.95 (2.67-3.23)
oligodendrocytes 2,1630.0,0.148,64.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
