tipo_celular,module_size,SNAP91_MM,SNAP91_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.159,84.0,166,4,2.41,0.43 (0.21-0.66),162,97.59,3.46 (3.21-3.70)
oligodendrocyte progenitor cells 7,436.0,0.118,42.0,219,7,3.2,5.41 (4.39-6.43),212,96.8,5.20 (4.91-5.50)
GABA neurons expressing GLU receptors 22,192.0,0.24,84.0,55,0,0.0,NA,55,100.0,4.03 (3.61-4.44)
GLU like neurons 17,795.0,0.109,38.0,80,3,3.75,2.53 (2.34-2.73),77,96.25,5.80 (5.40-6.19)
da like neurons 11,77.0,0.51,99.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
GABA neurons expressing GABA receptors 13,77.0,0.125,22.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,403.0,0.13,53.0,18,6,33.33,0.92 (0.19-1.65),12,66.67,2.35 (1.51-3.20)
GABA like neurons 14,1300.0,0.239,65.0,306,25,8.17,2.90 (2.11-3.69),281,91.83,5.35 (5.10-5.61)
astrocytes 8,262.0,0.195,75.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,153.0,0.411,52.0,27,9,33.33,3.48 (1.66-5.30),18,66.67,5.33 (4.28-6.38)
oligodendrocytes 10,806.0,0.285,77.0,261,22,8.43,3.86 (3.09-4.63),239,91.57,4.42 (4.16-4.67)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,367.0,0.2,83.0,17,2,11.76,4.50 (1.39-7.61),15,88.24,1.74 (0.83-2.65)
oligodendrocytes 16,149.0,0.245,61.0,70,2,2.86,6.09 (NA-NA),68,97.14,5.64 (5.16-6.12)
da neurons 6,300.0,0.209,67.0,159,6,3.77,5.73 (4.65-6.82),153,96.23,4.29 (3.98-4.61)
astrocytes microglia 23,94.0,0.299,37.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752.0,0.163,65.0,96,2,2.08,3.41 (NA-NA),94,97.92,3.29 (2.95-3.62)
oligodendrocytes 0,309.0,0.212,88.0,30,2,6.67,6.09 (NA-NA),28,93.33,6.09 (5.46-6.72)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,242.0,0.105,35.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,347.0,0.312,87.0,15,2,13.33,6.09 (NA-NA),13,86.67,4.62 (3.89-5.35)
