tipo_celular,module_size,HIBADH_MM,HIBADH_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.11,14.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,624.0,0.141,40.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1141.0,0.099,13.0,166,10,6.02,1.58 (0.91-2.25),156,93.98,3.53 (3.28-3.78)
oligodendrocyte progenitor cells 7,4285.0,0.158,83.0,353,18,5.1,1.40 (0.92-1.88),335,94.9,4.07 (3.89-4.24)
GABA neurons expressing GLU receptors 22,567.0,0.17,40.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,685.0,0.082,16.0,135,4,2.96,1.41 (0.14-2.68),131,97.04,3.25 (2.95-3.56)
da like neurons 11,140.0,0.321,79.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.141,60.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,298.0,0.115,43.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,3052.0,0.149,59.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,283.0,0.203,81.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.101,44.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,2107.0,0.238,80.0,358,16,4.47,1.27 (0.77-1.76),342,95.53,4.03 (3.84-4.21)
connective tissue cells 21,111.0,0.165,3.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,458.0,0.107,57.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,313.0,0.11,5.0,291,2,0.69,1.94 (-0.79-4.68),289,99.31,4.35 (4.12-4.57)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,131.0,0.274,37.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752.0,0.155,51.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,1186.0,0.161,76.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,1615.0,0.128,74.0,161,17,10.56,1.30 (0.83-1.77),144,89.44,3.56 (3.30-3.83)
oligodendrocytes 3,1003.0,0.127,75.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804.0,0.124,17.0,84,4,4.76,1.13 (0.16-2.09),80,95.24,2.79 (2.45-3.13)
