tipo_celular,module_size,FN1_MM,FN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.194,60.0,58,35,60.34,3.81 (3.40-4.23),23,39.66,4.99 (4.08-5.91)
oligodendrocyte progenitor cells 7,4285.0,0.114,22.0,353,41,11.61,1.89 (1.56-2.22),312,88.39,4.23 (4.06-4.41)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.18,42.0,62,5,8.06,3.84 (1.96-5.72),57,91.94,4.06 (3.60-4.53)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,603.0,0.064,38.0,89,8,8.99,1.68 (0.98-2.39),81,91.01,2.91 (2.54-3.29)
oligodendrocyte progenitor cells 12,3303.0,0.064,31.0,276,34,12.32,2.11 (1.80-2.42),242,87.68,3.81 (3.58-4.04)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,301.0,0.239,13.0,158,41,25.95,4.19 (3.49-4.89),117,74.05,4.27 (3.84-4.70)
astrocytes 15,1768.0,0.074,38.0,105,21,20.0,1.76 (1.39-2.14),84,80.0,3.61 (3.25-3.98)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,59.0,0.286,40.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.135,32.0,104,19,18.27,1.65 (1.19-2.11),85,81.73,3.14 (2.84-3.44)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
