tipo_celular,module_size,SCN8A_MM,SCN8A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,156.0,0.094,11.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.151,74.0,353,11,3.12,0.97 (0.56-1.37),342,96.88,4.01 (3.83-4.19)
GABA neurons expressing GLU receptors 22,459.0,0.236,77.0,165,35,21.21,3.84 (3.52-4.17),130,78.79,5.52 (5.10-5.94)
GLU like neurons 17,795.0,0.212,80.0,80,15,18.75,4.58 (3.53-5.62),65,81.25,5.92 (5.50-6.35)
da like neurons 11,265.0,0.258,76.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49)
GABA neurons expressing GABA receptors 13,266.0,0.321,95.0,118,20,16.95,4.15 (3.57-4.74),98,83.05,4.88 (4.47-5.29)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,271.0,0.323,89.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,1300.0,0.185,39.0,306,56,18.3,3.66 (3.28-4.05),250,81.7,5.52 (5.22-5.81)
astrocytes 8,260.0,0.179,78.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA)
oligodendrocyte progenitor cells 12,3303.0,0.144,98.0,276,8,2.9,1.57 (1.16-1.98),268,97.1,3.62 (3.40-3.84)
oligodendrocytes 10,806.0,0.218,67.0,261,15,5.75,3.58 (2.85-4.31),246,94.25,4.42 (4.17-4.67)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,261.0,0.138,43.0,8,4,50.0,1.64 (-0.94-4.21),4,50.0,5.21 (3.18-7.24)
oligodendrocytes 16,149.0,0.145,22.0,70,2,2.86,4.92 (4.49-5.34),68,97.14,5.68 (5.19-6.17)
da neurons 6,518.0,0.154,82.0,122,22,18.03,2.84 (2.02-3.66),100,81.97,4.28 (3.86-4.71)
astrocytes microglia 23,39.0,0.317,32.0,1,1,100.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.14,42.0,104,4,3.85,0.87 (0.13-1.61),100,96.15,2.95 (2.67-3.23)
oligodendrocytes 0,1186.0,0.124,20.0,300,1,0.33,2.06 (NA-NA),299,99.67,3.80 (3.59-4.01)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.057,12.0,345,15,4.35,3.22 (2.51-3.93),330,95.65,4.33 (4.12-4.55)
oligodendrocytes 2,1630.0,0.109,6.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
