tipo_celular,module_size,GTF3C1_MM,GTF3C1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,159,0.344,98.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51)
T cells 18,393,0.206,75.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61)
astrocytes 5,932,0.095,29.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285,0.141,60.0,353,33,9.35,1.66 (1.25-2.06),320,90.65,4.20 (4.03-4.37)
GABA neurons expressing GLU receptors 22,487,0.211,49.0,73,6,8.22,1.48 (1.40-1.56),67,91.78,2.89 (2.48-3.30)
GLU like neurons 17,380,0.189,63.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,215,0.306,81.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,70,0.133,24.0,4,0,0.0,NA,4,100.0,3.85 (3.81-3.89)
endothelial cells 9,303,0.056,6.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,221,0.22,58.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,3052,0.218,96.0,125,1,0.8,3.74 (NA-NA),124,99.2,3.35 (3.02-3.67)
astrocytes 8,1266,0.08,49.0,66,13,19.7,1.53 (0.93-2.13),53,80.3,3.73 (3.32-4.14)
oligodendrocyte progenitor cells 12,3303,0.068,36.0,276,25,9.06,1.70 (1.42-1.98),251,90.94,3.79 (3.57-4.01)
oligodendrocytes 10,735,0.113,60.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,139,0.339,75.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73)
astrocytes 15,1401,0.075,40.0,96,2,2.08,1.57 (1.57-1.57),94,97.92,3.67 (3.21-4.12)
oligodendrocytes 16,87,0.182,47.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,307,0.111,42.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,131,0.295,49.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721,0.173,86.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,2078,0.129,80.0,238,5,2.1,2.32 (0.69-3.94),233,97.9,3.67 (3.45-3.89)
microglia 1,1615,0.061,2.0,161,29,18.01,1.44 (1.12-1.75),132,81.99,3.79 (3.53-4.05)
oligodendrocytes 3,1003,0.04,2.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630,0.146,59.0,154,2,1.3,5.19 (3.64-6.74),152,98.7,3.22 (2.95-3.48)
