tipo_celular,module_size,ADGRA3_MM,ADGRA3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,118.0,0.214,48.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94)
oligodendrocyte progenitor cells 7,200.0,0.179,50.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04)
GABA neurons expressing GLU receptors 22,599.0,0.31,88.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.088,12.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,279.0,0.229,31.0,78,7,8.97,2.29 (2.02-2.56),71,91.03,4.55 (4.13-4.97)
oligodendrocyte progenitor cells 12,3303.0,0.089,63.0,276,2,0.72,0.96 (0.79-1.12),274,99.28,3.57 (3.35-3.78)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,84.0,0.397,90.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,268.0,0.29,89.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,89.0,0.28,48.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,220.0,0.243,85.0,63,0,0.0,NA,63,100.0,5.13 (4.57-5.69)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
