tipo_celular,module_size,EPHB2_MM,EPHB2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.182,70.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,714.0,0.223,71.0,17,8,47.06,2.54 (2.16-2.91),9,52.94,2.10 (1.03-3.17)
GLU like neurons 17,489.0,0.116,34.0,42,27,64.29,5.74 (5.07-6.41),15,35.71,6.83 (6.19-7.47)
da like neurons 11,200.0,0.229,65.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,348.0,0.152,56.0,33,10,30.3,3.48 (3.10-3.86),23,69.7,2.36 (1.71-3.01)
GABA like neurons 14,2090.0,0.261,95.0,74,2,2.7,2.22 (1.63-2.82),72,97.3,2.96 (2.58-3.35)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,1277.0,0.158,75.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,94.0,0.134,9.0,5,2,40.0,3.65 (NA-NA),3,60.0,2.64 (1.13-4.14)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,96.0,0.334,58.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,117.0,0.188,69.0,4,2,50.0,6.69 (5.73-7.65),2,50.0,5.16 (5.16-5.16)
microglia 1,1615.0,0.109,50.0,161,53,32.92,2.57 (2.12-3.02),108,67.08,3.71 (3.42-4.01)
oligodendrocytes 3,242.0,0.269,92.0,6,2,33.33,7.24 (5.20-9.28),4,66.67,5.36 (5.10-5.61)
oligodendrocytes 2,407.0,0.229,95.0,122,41,33.61,2.27 (1.85-2.69),81,66.39,4.12 (3.62-4.63)
