tipo_celular,module_size,DBNL_MM,DBNL_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.103,13.0,73,1,1.37,NA,72,98.63,3.56 (3.22-3.91)
T cells 18,624.0,0.153,50.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,1069.0,0.119,18.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,109.0,0.084,2.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.063,7.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70)
oligodendrocytes 20,253.0,0.14,39.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,3052.0,0.084,10.0,125,1,0.8,3.81 (NA-NA),124,99.2,3.35 (3.02-3.67)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,735.0,0.062,22.0,277,4,1.44,NA,273,98.56,3.89 (3.65-4.14)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,81.0,0.244,78.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,307.0,0.061,2.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,108.0,0.312,43.0,2,0,0.0,NA,2,100.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.078,4.0,238,2,0.84,1.22 (-0.77-3.20),236,99.16,3.66 (3.44-3.88)
microglia 1,813.0,0.063,2.0,79,5,6.33,2.87 (2.25-3.49),74,93.67,3.11 (2.69-3.53)
oligodendrocytes 3,743.0,0.024,0.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.116,10.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
