tipo_celular,module_size,PFKFB3_MM,PFKFB3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.313,85.0,102,9,8.82,2.61 (1.88-3.34),93,91.18,3.59 (3.20-3.98)
T cells 18,282.0,0.174,47.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,117.0,0.167,62.0,28,0,0.0,NA,28,100.0,5.31 (4.72-5.89)
oligodendrocyte progenitor cells 7,200.0,0.289,86.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,300.0,0.244,87.0,16,5,31.25,2.70 (2.17-3.23),11,68.75,1.74 (0.48-3.00)
da like neurons 11,82.0,0.162,25.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.15,67.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,348.0,0.25,84.0,33,4,12.12,3.65 (3.00-4.29),29,87.88,2.59 (2.06-3.13)
GABA like neurons 14,2090.0,0.219,87.0,74,2,2.7,2.53 (NA-NA),72,97.3,2.95 (2.57-3.33)
astrocytes 8,279.0,0.38,97.0,78,0,0.0,NA,78,100.0,4.31 (3.90-4.73)
oligodendrocyte progenitor cells 12,3303.0,0.106,80.0,276,17,6.16,2.69 (2.13-3.25),259,93.84,3.61 (3.38-3.84)
oligodendrocytes 10,2107.0,0.172,59.0,358,22,6.15,1.90 (1.33-2.48),336,93.85,4.04 (3.85-4.23)
connective tissue cells 21,90.0,0.227,15.0,3,3,100.0,2.29 (2.29-2.29),0,0.0,NA
astrocytes 15,208.0,0.189,52.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36)
oligodendrocytes 16,65.0,0.18,47.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,141.0,0.191,12.0,30,0,0.0,NA,30,100.0,5.66 (4.78-6.55)
astrocytes 4,251.0,0.205,76.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86)
oligodendrocytes 0,2078.0,0.127,76.0,238,3,1.26,1.80 (0.23-3.37),235,98.74,3.66 (3.44-3.88)
microglia 1,480.0,0.173,41.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,94.0,0.095,52.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73)
oligodendrocytes 2,921.0,0.136,47.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89)
