tipo_celular,module_size,RAMP1_MM,RAMP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,328.0,0.106,19.0,128,1,0.78,2.60 (NA-NA),127,99.22,3.58 (3.23-3.92)
oligodendrocyte progenitor cells 7,628.0,0.351,94.0,164,5,3.05,3.66 (2.21-5.10),159,96.95,4.10 (3.77-4.44)
GABA neurons expressing GLU receptors 22,599.0,0.317,89.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,685.0,0.089,21.0,135,27,20.0,2.20 (1.78-2.62),108,80.0,3.50 (3.14-3.85)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,417.0,0.156,47.0,213,12,5.63,1.78 (1.02-2.54),201,94.37,3.91 (3.67-4.15)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,250.0,0.161,40.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2402.0,0.169,31.0,455,21,4.62,2.90 (2.24-3.56),434,95.38,4.44 (4.25-4.63)
astrocytes 8,577.0,0.081,47.0,83,7,8.43,2.83 (1.81-3.86),76,91.57,3.30 (2.81-3.79)
oligodendrocyte progenitor cells 12,153.0,0.519,92.0,27,3,11.11,3.24 (2.00-4.47),24,88.89,5.03 (3.94-6.13)
oligodendrocytes 10,735.0,0.045,10.0,277,2,0.72,4.33 (3.39-5.28),275,99.28,3.89 (3.64-4.13)
connective tissue cells 21,139.0,0.362,84.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73)
astrocytes 15,1401.0,0.139,85.0,96,5,5.21,2.28 (1.57-2.99),91,94.79,3.70 (3.23-4.17)
oligodendrocytes 16,96.0,0.222,47.0,102,8,7.84,1.19 (0.92-1.46),94,92.16,3.57 (3.25-3.90)
da neurons 6,729.0,0.066,6.0,182,3,1.65,2.20 (0.57-3.82),179,98.35,3.67 (3.41-3.92)
astrocytes microglia 23,327.0,0.272,27.0,120,25,20.83,2.57 (2.05-3.09),95,79.17,3.97 (3.64-4.29)
astrocytes 4,255.0,0.159,39.0,12,1,8.33,5.51 (NA-NA),11,91.67,4.44 (3.48-5.41)
oligodendrocytes 0,546.0,0.1,12.0,252,12,4.76,2.17 (1.26-3.08),240,95.24,4.22 (3.97-4.47)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,94.0,0.077,42.0,7,2,28.57,8.28 (8.28-8.28),5,71.43,2.97 (1.07-4.87)
oligodendrocytes 2,528.0,0.195,47.0,175,6,3.43,2.03 (1.61-2.46),169,96.57,4.51 (4.16-4.86)
