tipo_celular,module_size,PCTP_MM,PCTP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,156.0,0.114,26.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.119,26.0,353,13,3.68,1.89 (1.21-2.57),340,96.32,3.99 (3.80-4.17)
GABA neurons expressing GLU receptors 22,599.0,0.153,23.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,489.0,0.113,33.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,853.0,0.11,34.0,133,9,6.77,2.59 (1.67-3.51),124,93.23,3.31 (2.98-3.64)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.099,17.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,1266.0,0.07,37.0,66,7,10.61,2.02 (1.02-3.02),59,89.39,3.40 (2.96-3.84)
oligodendrocyte progenitor cells 12,3303.0,0.074,45.0,276,10,3.62,1.69 (1.12-2.26),266,96.38,3.63 (3.41-3.85)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,96.0,0.374,89.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.054,18.0,105,7,6.67,1.75 (0.83-2.68),98,93.33,3.33 (2.98-3.67)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,126.0,0.257,15.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA)
astrocytes 4,201.0,0.17,49.0,18,0,0.0,NA,18,100.0,4.54 (3.65-5.42)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
